period,orders,units,gross_item_sales,item_promo_discount,net_item_sales,shipping_promo_discount_excluded
current,8794,11823,445624.92000000016,5724.690000000001,439900.23000000016,6763.879999999996
prior,11034,14418,560339.2400000005,44142.76,516196.48000000045,8313.269999999999
