week_start,week_end,gross_sales,sessions,units,unit_conversion
2026-06-07,2026-06-13,560041.449999996,220012,14415,0.06551915350071814
2026-06-14,2026-06-20,445688.6000000011,174562,11824,0.0677352459298129
