keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow
fitted sheet king,"B00NQDGAP2, B01ES3MMYG",2,31,31,0,4494,120,1,1798.8,21.97,1405.53,0.2798019252523959
extra deep pocket queen sheets,B0822X4TLW,1,15,71,56,3304,65,1,1624.35,46.97,1364.6100000000001,0.19034009717062
sheet set,B00NLLUMOE,1,9,9,0,11587,85,1,1603.1,36.23,1199.7,0.3362507293490038
twin xl sheet sets,B016P42X2W,1,33,18,-15,4616,107,0,1453.06,0.0,1116.5,0.30144200626959244
fitted sheet,B00NLLUMOE,1,22,30,8,9250,115,0,1436.3500000000001,0.0,1389.93,0.03339736533494497
twin bed sheets kids,B00NLLUMOE,1,28,36,8,2574,65,0,1233.7,0.0,,
queen sheet set deep pocket,B00NLLUMOE,1,21,22,1,2286,50,0,1214.5,0.0,1368.63,-0.1126162659009375
split king sheets,B08RZDTTWQ,1,9,24,15,2645,29,1,1159.71,46.97,699.8000000000001,0.6572020577307801
king flat sheets only,"B00NQDGAP2, B01ETTFKIE",2,29,25,-4,2044,57,0,1139.4299999999998,0.0,1379.31,-0.17391304347826095
rv queen sheets,B08V8V7VZF,1,15,10,-5,1335,38,0,974.32,0.0,665.0799999999999,0.4649666205569257
flat sheets only,"B00SBZJ8NG, B01ETTFKIE",2,51,40,-11,4577,62,0,929.38,0.0,709.29,0.3102962117046625
king flat sheet,"B00NLLUMOE, B01ETTFKIE",2,40,36,-4,1763,65,0,909.35,0.0,833.0,0.09165666266506606
white sheets full,B00O35DAL4,1,7,7,0,922,51,0,775.1999999999999,0.0,699.1999999999999,0.10869565217391305
flat sheet,"B00NQDGAP2, B01ETTFKIE",2,43,76,33,3559,60,0,719.4,0.0,459.54,0.565478522000261
white bed sheets,B00NLLUMOE,1,11,9,-2,2250,32,2,567.68,73.94,557.6899999999999,0.01791317757176928
twin flat sheet,"B00NLLUMOE, B01ETTDYPK",2,41,48,7,2031,54,0,539.46,0.0,531.44,0.015091073310251356
california king bed sheets,B00NQDGAP2,1,29,27,-2,1363,19,0,531.81,0.0,629.79,-0.15557566807983617
short queen sheets for rv,B08V8V7VZF,1,14,30,16,856,19,0,487.16,0.0,458.83,0.06174400104613918
king size sheet sets,B00NQDGAP2,1,10,10,0,803,11,1,329.89,40.15,509.83,-0.35294117647058826
rv sheets,B08V8V7VZF,1,25,45,20,783,5,0,128.2,0.0,95.96,0.33597332221759063
bedspreads & coverlets,B01FWBWTGO,1,35,35,0,0,0,0,0.0,0.0,,
