asin,collection,size,color,sales,prior_sales,sales_delta,sessions,prior_sessions,units,prior_units,conversion,prior_conversion,conversion_change_pp,qualified
B00NLLUMOE,1800 Bed Sheets,Queen,White,70855.85999999999,68348.56,2507.2999999999884,29842,32203,1924,1859,0.06447289055693319,0.05772754091233736,0.006745349644595826,True
B00NQDGAP2,1800 Bed Sheets,King,White,41314.1,51827.81,-10513.71,10660,15650,1011,1269,0.0948405253283302,0.08108626198083067,0.013754263347499532,True
B00O35DAL4,1800 Bed Sheets,Full,White,18063.66,16518.510000000002,1545.1499999999978,3084,3587,514,473,0.16666666666666666,0.1318650683022024,0.034801598364464253,True
B0822X1VP7,1800 Bed Sheet Set With DEEP Fitted Sheet,King,White,10890.240000000002,11309.22,-418.97999999999774,2827,3348,215,222,0.07605235231694375,0.06630824372759857,0.009744108589345185,True
B00O35CWQ8,1800 Bed Sheets,Twin,White,9317.390000000001,11233.74,-1916.3499999999985,1214,2176,267,323,0.21993410214168038,0.1484375,0.07149660214168038,True
B0822X4TLW,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,White,7845.900000000001,8208.04,-362.1400000000003,2155,2932,168,175,0.07795823665893271,0.059686221009549796,0.018272015649382918,True
B00SBZJ8NG,1800 Bed Sheets,Queen,Light Gray,6191.349999999999,7540.3,-1348.9500000000007,1982,2699,156,189,0.07870837537840565,0.0700259355316784,0.008682439846727258,True
B016P42ARU,1800 Bed Sheets,Twin XL,White,5110.97,4402.18,708.79,2005,1230,155,130,0.0773067331670823,0.10569105691056911,-0.028384323743486817,True
B00SU0QSZ8,1800 Bed Sheets,King,Light Gray,4676.85,6179.08,-1502.2299999999996,1926,2484,109,145,0.05659397715472482,0.05837359098228664,-0.001779613827561817,True
B0CLYC7B2G,1800 Bed Sheets,Queen,Ivory,4551.78,6913.21,-2361.4300000000003,2798,3550,114,173,0.0407433881343817,0.04873239436619718,-0.007989006231815483,True
B08RZDBZZJ,1800 Bed Sheets,Queen,Golden Ivory,4515.8099999999995,6352.83,-1837.0200000000004,2590,2942,113,159,0.04362934362934363,0.05404486743711761,-0.010415523807773983,True
B0CLYDPTWV,1800 Bed Sheets,King,Ivory,4382.08,7384.820000000001,-3002.7400000000007,2069,2733,102,172,0.04929917834702755,0.06293450420783023,-0.013635325860802676,True
B08RZFVS95,1800 Bed Sheets,Queen,Sage,3872.2900000000004,4953.88,-1081.5899999999997,1504,2092,97,127,0.06449468085106383,0.0607074569789675,0.003787223872096332,True
B01DN0AJXQ,1800 Bed Sheets,Queen,Blue Hydrangea,3652.4400000000005,3751.58,-99.13999999999942,1506,1675,92,96,0.06108897742363878,0.057313432835820896,0.0037755445878178834,True
B08RZBVSZR,1800 Bed Sheets,Queen,Blush Pink,3556.53,4435.87,-879.3399999999997,1640,2044,89,111,0.05426829268292683,0.05430528375733855,-3.699107441171995e-05,True
B0BTZ5HGMB,1800 Bed Sheet Set 6 PIECE,Queen,White,3480.7299999999996,3878.9900000000002,-398.2600000000007,574,654,87,99,0.15156794425087108,0.15137614678899083,0.00019179746188024982,True
B00NLLUNSE,1800 Bed Sheets,Queen,Beige,3347.0800000000004,3751.58,-404.49999999999955,1054,1316,84,94,0.07969639468690702,0.07142857142857142,0.008267823258335597,True
