asin,collection,size,color,sales,prior_sales,sales_delta,sessions,prior_sessions,units,prior_units,conversion,prior_conversion,conversion_change_pp,qualified
B00O35DOT2,1800 Bed Sheets,California King,Beige,1205.04,179.88,1025.1599999999999,282,75,32,4,0.11347517730496454,0.05333333333333334,0.0601418439716312,False
B0CNRYNKYC,1800 Bed Sheets,Twin XL,Blue Nova,1188.74,174.85,1013.89,550,108,42,5,0.07636363636363637,0.046296296296296294,0.030067340067340076,True
B08TRRPSQN,1800 Pillowcase Set 2 pc,Set of 2 Standard Size,Golden Ivory,1188.4499999999998,484.8299999999999,703.6199999999999,254,102,75,27,0.2952755905511811,0.2647058823529412,0.030569708198239898,False
B0BMW97GJF,1800 Bed Sheet Set With DEEP Fitted Sheet,Full,Golden Ivory,1185.8400000000001,229.85,955.9900000000001,619,99,32,5,0.051696284329563816,0.050505050505050504,0.0011912338245133117,True
B013FJJJC2,1800 Bed Sheets,Full,Royal Blue,1184.46,303.0,881.46,553,132,38,8,0.06871609403254973,0.06060606060606061,0.008110033426489124,True
B0822W3JSL,1800 Bed Sheet Set With DEEP Fitted Sheet,Twin XL,Navy Blue,1179.24,0.0,1179.24,218,39,32,0,0.14678899082568808,0.0,0.14678899082568808,False
B08BZWSVC8,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Brown,1179.1299999999999,249.85,929.2799999999999,667,133,29,5,0.043478260869565216,0.03759398496240601,0.005884275907159203,True
B01FWBWTGO,1800 Ultrasonic Coverlet,King,Spa Blue,1176.22,604.6700000000001,571.55,891,670,26,11,0.029180695847362513,0.016417910447761194,0.01276278539960132,True
B0CNRX8QBD,1800 Bed Sheets,Split King,Sky Blue,1176.0400000000002,93.94,1082.1000000000001,375,44,32,2,0.08533333333333333,0.045454545454545456,0.039878787878787875,False
B0822ZZJLL,1800 Bedskirt,Queen,White,1169.88,587.1599999999999,582.7200000000003,752,367,64,28,0.0851063829787234,0.07629427792915532,0.008812105049568086,True
B01DN0A1PM,1800 Bed Sheets,Twin,Spa Mint,1167.7700000000002,209.82,957.9500000000003,1453,124,41,6,0.028217481073640742,0.04838709677419355,-0.020169615700552805,True
B07R5VNM7R,1800 Bed Sheets,Twin,Pinstripe Gray,1146.8,279.76,867.04,308,75,40,8,0.12987012987012986,0.10666666666666667,0.023203463203463184,False
B08RZDNSMT,1800 Bed Sheets,California King,Teal,1133.07,179.88,953.1899999999999,338,56,31,4,0.09171597633136094,0.07142857142857142,0.02028740490278952,False
B0BTZ4KPTZ,1800 Bed Sheet Set 6 PIECE,Full,White,1125.04,1044.3899999999999,80.65000000000009,237,74,34,27,0.14345991561181434,0.36486486486486486,-0.22140494925305051,False
B0BTZ7DKC5,1800 Bed Sheet Set 6 PIECE,Queen,Beige,1117.44,219.85,897.59,468,102,31,5,0.06623931623931624,0.049019607843137254,0.017219708396178986,False
B00ZSGW4FK,1800 Bed Sheets,California King,Striped White,1115.13,359.76,755.3700000000001,336,118,30,8,0.08928571428571429,0.06779661016949153,0.021489104116222763,False
B00ZSGVP8W,1800 Bed Sheets,Full,Striped White,1110.5500000000002,227.82,882.7300000000002,564,180,37,6,0.06560283687943262,0.03333333333333333,0.03226950354609929,True
B0CNRY813X,1800 Bed Sheets,California King,Blue Nova,1089.63,0.0,1089.63,310,40,29,0,0.0935483870967742,0.0,0.0935483870967742,False
