keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow
king fitted sheet,"B00NQDGAP2, B01ES3MMYG",2,37,31,-6,8430,324,0,4208.76,0.0,2338.44,0.7998152614563556
sheet set,B00NQDGAP2,1,11,9,-2,23328,214,2,3819.9,56.94,1603.1,1.3828207847295866
white king sheets,"B00NQDGAP2, B00O35DAL4",2,4,4,0,1501,180,17,3778.2,548.59,1996.56,0.8923548503425892
white sheets,B00NLLUMOE,1,11,9,-2,7651,247,20,3754.3999999999996,569.4,2160.825,0.7374845255862923
twin xl sheet sets,B016P42ARU,1,22,33,11,7892,233,1,3748.97,32.27,1453.06,1.5800517528526006
split king sheets,"B01N10ETBD, B0BTZ68TRH",2,9,9,0,7851,115,2,3713.35,71.94,1159.71,2.2019642841744917
white queen sheets,B00NLLUMOE,1,4,5,1,1852,217,13,3708.5299999999997,370.11,2648.88,0.4000369967684454
fitted sheet king,"B00NQDGAP2, B01ES3MMYG",2,27,31,4,7873,227,0,3402.73,0.0,1798.8,0.8916666666666667
cooling bed sheets,B00NQDGAP2,1,15,27,12,13259,116,0,3304.8399999999997,0.0,1859.3799999999999,0.7773881616452796
cal king sheets,B00NQDGAP2,1,14,22,8,5160,118,1,3137.62,35.97,1924.45,0.6303982956169294
extra deep pocket queen sheets,B00NLLUMOE,1,24,15,-9,6451,105,1,2440.2,37.92,1624.35,0.502262443438914
fitted sheet,"B00NQDGAP2, B01ES3L33W",2,33,22,-11,15449,179,0,2164.11,0.0,1436.3500000000001,0.5066731646186514
queen sheet set deep pocket,B00NLLUMOE,1,18,21,3,4320,106,0,2139.08,0.0,1214.5,0.7612844792095512
flat sheets only,B00SBZJ8NG,1,59,51,-8,5834,102,0,1397.3999999999999,0.0,929.38,0.5035830338505238
rv queen sheets,B08V8V7VZF,1,18,15,-3,1715,63,0,1372.77,0.0,974.32,0.40895188439116503
white sheets full,B00O35DAL4,1,5,7,2,1230,89,6,1352.8,172.62,775.1999999999999,0.7450980392156864
california king bed sheets,B00NQDGAP2,1,16,29,13,2049,52,1,1350.96,40.97,531.81,1.5403057482935638
white bed sheets,B00NQDGAP2,1,11,11,0,2963,69,6,1206.81,172.62,567.68,1.125863162344983
short queen sheets for rv,B08V8V7VZF,1,18,14,-4,1222,49,0,1133.37,0.0,487.16,1.3264841119960584
flat sheet,B00NQDGAP2,1,27,43,16,4779,72,0,733.68,0.0,719.4,0.019849874895746418
king size sheet sets,B00NQDGAP2,1,9,10,1,1361,14,1,316.82,32.27,329.89,-0.03961926702840339
bedspreads & coverlets,B01FWBWTGO,1,30,35,5,0,0,0,0.0,0.0,,
cooling pillow cases,B00RKHWJ1O,1,94,90,-4,0,0,0,0.0,0.0,,
dark grey sheets,"B00NLLUP4G, B0BTZ51FTP",2,37,91,54,0,0,0,0.0,0.0,,
full size bed sheets kids,B00O35DAL4,1,30,38,8,0,0,0,0.0,0.0,,
full size sheets kids,B00O35DAL4,1,30,43,13,0,0,0,0.0,0.0,,
gray king size sheets,B00SU0QSZ8,1,18,21,3,0,0,0,0.0,0.0,,
gray queen sheet set,"B00SBZJ8NG, B0BTZ4CFWV",2,15,14,-1,0,0,0,0.0,0.0,,
gray sheets,"B00SBZJ8NG, B0BTZ4CFWV",2,12,14,2,0,0,0,0.0,0.0,,
gray sheets full,B00SUF39K0,1,19,25,6,0,0,0,0.0,0.0,,
gray sheets queen,"B00NLLUP4G, B00SBZJ8NG, B0BTZ4CFWV",3,12,15,3,0,0,0,0.0,0.0,,
gray twin sheets,"B00NLLUMOE, B0BTZ86L2X",2,29,91,62,0,0,0,0.0,0.0,,
grey bed sheets,"B00SBZJ8NG, B0BTZ51FTP",2,21,21,0,0,0,0,0.0,0.0,,
grey full size sheets,B00O35DAL4,1,16,93,77,0,0,0,0.0,0.0,,
grey king size sheets set,B00NQDGAP2,1,65,69,4,0,0,0,0.0,0.0,,
grey queen sheet set,"B00SBZJ8NG, B0BTZ4CFWV",2,11,11,0,0,0,0,0.0,0.0,,
grey queen sheets,"B00NLLUP4G, B0BTZ4CFWV",2,17,13,-4,0,0,0,0.0,0.0,,
grey sheets,B00SBZJ8NG,1,19,38,19,0,0,0,0.0,0.0,,
grey sheets full,B00SUF39K0,1,55,80,25,0,0,0,0.0,0.0,,
grey sheets king,B00NQDGAP2,1,30,38,8,0,0,0,0.0,0.0,,
grey sheets queen size,"B00SBZJ8NG, B0BTZ4CFWV",2,20,20,0,0,0,0,0.0,0.0,,
kids full size bed sheets,B00O35DAL4,1,29,39,10,0,0,0,0.0,0.0,,
kids sheets twin,B00NLLUMOE,1,21,27,6,0,0,0,0.0,0.0,,
kids twin sheets,B00NLLUMOE,1,37,51,14,0,0,0,0.0,0.0,,
king flat sheet,"B00NQDGAP2, B01ETTFKIE",2,24,40,16,0,0,0,0.0,0.0,909.35,
king flat sheets only,"B00NQDGAP2, B01ETTGNJO",2,27,29,2,0,0,0,0.0,0.0,1139.4299999999998,
king pillow cases set of 2,B00RKHX3E6,1,72,50,-22,0,0,0,0.0,0.0,5097.8,
king size fitted sheets only,"B00NQDGAP2, B01ES3MMYG",2,79,78,-1,0,0,0,0.0,0.0,,
king size flat sheet only,"B00NQDGAP2, B01ETTFKIE",2,43,44,1,0,0,0,0.0,0.0,,
king split sheets for adjustable bed,B00NQDGAP2,1,27,29,2,0,0,0,0.0,0.0,,
light grey sheets,B00SBZJ8NG,1,12,18,6,0,0,0,0.0,0.0,,
queen flat sheet only,"B00NLLUMOE, B01ETTDTSM",2,49,48,-1,0,0,0,0.0,0.0,,
queen sheets deep pocket cooling,B00NLLUMOE,1,35,49,14,0,0,0,0.0,0.0,,
rv bed sheets,B08V8V7VZF,1,20,17,-3,0,0,0,0.0,0.0,,
rv sheets,B08V8V7VZF,1,15,25,10,0,0,0,0.0,0.0,128.2,
split king sheets for adjustable bed,B08RZDTTWQ,1,40,54,14,0,0,0,0.0,0.0,,
split top king sheets sets for adjustable bed,B0822VN7VK,1,38,80,42,0,0,0,0.0,0.0,,
top split king sheets sets for adjustable bed,B00NQDGAP2,1,29,41,12,0,0,0,0.0,0.0,,
twin bed sheets kids,B00NLLUMOE,1,23,28,5,0,0,0,0.0,0.0,1233.7,
twin flat sheet,B00NLLUMOE,1,34,41,7,0,0,0,0.0,0.0,539.46,
twin flat sheets only,B01ETTEBIO,1,35,31,-4,0,0,0,0.0,0.0,,
twin sheets kids,B00NLLUMOE,1,29,45,16,0,0,0,0.0,0.0,,
twin sheets set kids,B00NQDGAP2,1,47,46,-1,0,0,0,0.0,0.0,,
twin xl fitted sheet,B016P42ARU,1,83,92,9,0,0,0,0.0,0.0,,
white flat sheet,"B00NLLUMOE, B01ETTFKIE",2,47,38,-9,0,0,0,0.0,0.0,,
white pillow cases set of 2,B00RKHWJ1O,1,32,21,-11,0,0,0,0.0,0.0,3523.59,
