keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow
queen sheets,B00NLLUMOE,1,11,9,-2,141869,4032,183,70519.68,5210.01,46126.99,0.5288159925457958
king size sheets set,B00NQDGAP2,1,9,15,6,92349,2204,55,53380.88,1774.8500000000001,30679.769999999997,0.7399374245634828
queen sheet set,B00NLLUMOE,1,10,7,-3,96928,3003,107,52522.469999999994,3046.29,33803.09,0.5537771842751653
twin xl sheets,B016P42ARU,1,23,43,20,116923,3232,11,52002.88,307.66999999999996,13090.0,2.9727181054239877
king sheets,B00NQDGAP2,1,9,8,-1,72589,1818,82,43613.82,2646.1400000000003,15400.130000000001,1.832042326915422
sheets,B00NQDGAP2,1,11,8,-3,144774,1306,83,30155.54,2653.5099999999998,11220.509999999998,1.687537375752083
queen bed sheets,B00NLLUMOE,1,12,12,0,56962,1616,37,29136.480000000003,1053.3899999999999,22515.989999999998,0.2940350390988807
duvet cover,B07GQ38TP8,1,80,84,4,185223,1107,0,28206.36,0.0,13171.119999999999,1.1415308644974764
full size sheets,B00O35DAL4,1,13,18,5,64359,1782,31,27032.94,891.87,14394.81,0.87796434965102
sheets queen size bed set,"B00NLLUMOE, B0BTZ5HGMB",2,10,10,0,61383,1308,66,26395.44,1879.02,13094.759999999998,1.0157253741191135
twin sheets,B00NQDGAP2,1,44,24,-20,52572,1807,6,21069.62,209.82,11770.0,0.7901121495327101
twin sheets set,B00O35CWQ8,1,13,12,-1,45815,1787,5,20836.420000000002,174.85,13496.32,0.5438593631449167
bed sheets,B00O35DAL4,1,27,8,-19,120980,998,50,20139.64,1613.5000000000002,12120.15,0.6616659034747919
queen duvet cover,B079YXK5SN,1,36,31,-5,43924,756,1,18892.44,27.97,9871.05,0.9139240506329114
king sheet set,"B00NQDGAP2, B0BTZ24S9W",2,9,8,-1,29846,816,43,18351.84,1387.6100000000001,12604.33,0.4559948842976977
king duvet cover,B07GQ38TP8,1,56,54,-2,46137,625,0,17806.25,0.0,11126.289999999999,0.6003762260376102
king size sheets,"B00NQDGAP2, B01ES3MMYG",2,9,11,2,33249,746,23,16777.539999999997,742.21,9284.13,0.8071203225288744
cooling sheets,B00NQDGAP2,1,14,17,3,64237,555,2,16644.45,56.94,5308.23,2.1355932203389836
california king sheet sets,B00NQDGAP2,1,16,26,10,27852,680,0,16517.2,0.0,12233.779999999999,0.3501305401928106
cooling sheets queen,"B00NLLUMOE, B0BTZ5HGMB",2,34,40,6,34971,633,9,15818.669999999998,256.23,7746.9,1.0419354838709676
sheets king size,B00NQDGAP2,1,5,8,3,30596,521,42,15624.789999999999,1355.3400000000001,6867.71,1.2751091703056765
bed sheets queen size,B00NLLUMOE,1,11,12,1,39916,788,21,15161.119999999999,597.87,10445.82,0.451405442559799
queen size sheets,B00NLLUMOE,1,17,15,-2,25566,824,14,14411.759999999998,398.58,11919.699999999999,0.2090706980880391
pillow cases standard size,"B00RKHWJ1O, B0822YG3V8",2,44,38,-6,27299,1496,0,14182.08,0.0,12073.93,0.1746034638266082
king bed sheets,B00NQDGAP2,1,10,11,1,29024,610,18,12962.5,580.86,9356.88,0.3853442600524962
twin bed sheets,B00NQDGAP2,1,42,32,-10,40078,1044,1,12173.04,34.97,8660.0,0.40566281755196315
queen sheets deep pocket,B00NLLUMOE,1,18,27,9,19613,530,8,11951.5,239.76,6972.209999999999,0.7141623674559432
cooling sheets king size,B00NQDGAP2,1,12,27,15,21354,390,3,11696.099999999999,96.81,8254.08,0.4170083158874155
deep pocket queen sheets,B00SBZJ8NG,1,96,37,-59,27076,531,0,11193.48,0.0,7146.749999999999,0.566233602686536
xl twin sheets,B016P42ARU,1,34,27,-7,18232,700,0,11193.0,0.0,5649.28,0.9813144329896908
king size bed sheets,B00NQDGAP2,1,10,15,5,18014,447,6,10826.34,193.62,9596.8,0.12811978992997675
full size bed sheets,B00O35DAL4,1,12,16,4,25732,675,5,10793.25,143.85,7812.799999999999,0.3814829510546796
king sheets deep pocket,B00NQDGAP2,1,28,41,13,16626,404,2,9784.88,82.3,6237.92,0.5686126144612306
deep pocket king sheet set,B00SBZJ8NG,1,48,26,-22,16655,362,0,9046.38,0.0,4378.7300000000005,1.0659826022613859
sheet & pillowcase sets,B00NQDGAP2,1,19,11,-8,35049,346,14,8989.08,398.58,3598.56,1.4979658530078699
queen sheets set,B00NLLUMOE,1,9,9,0,12595,442,25,8795.8,711.75,6621.24,0.3284218665990056
twin fitted sheet,"B00O35CWQ8, B01ES3L50S",2,43,30,-13,18989,831,0,7886.1900000000005,0.0,5779.41,0.3645320197044336
fitted sheet queen,"B00NQDGAP2, B01ES3L33W",2,45,27,-18,19811,617,1,7706.33,19.97,5071.27,0.5196055425958388
bed sheets king size,B00NQDGAP2,1,10,19,9,16285,309,8,7483.98,258.16,3598.7999999999997,1.0795765255085028
full sheet set,B00O35DAL4,1,10,12,2,16309,488,15,7417.599999999999,431.55,4104.0,0.8074074074074072
pillowcases,"B00RKHWJ1O, B0822YG3V8",2,47,37,-10,22598,799,2,7374.77,28.74,3946.05,0.8688992790258613
california king sheets,B00NQDGAP2,1,16,22,6,11048,273,1,6685.7699999999995,32.27,3868.7099999999996,0.7281652023542732
queen size sheet set,B00NLLUMOE,1,11,12,1,12128,372,6,6673.68,170.82,4137.7,0.6128960533629796
pillow case,B00RKHWJ1O,1,59,50,-9,19585,782,0,5935.38,0.0,4036.51,0.47042370760880065
queen fitted sheet,B00NLLUMOE,1,60,55,-5,12974,576,0,5754.24,0.0,4639.84,0.24018069588606494
sheets full size bed,B00O35DAL4,1,11,11,0,15371,337,7,5725.629999999999,201.39,4337.83,0.3199295500284703
bed sheets full size,B00O35DAL4,1,14,15,1,15600,319,9,5356.009999999999,258.93,2837.33,0.8876937120461841
full bed sheets,B00O35DAL4,1,14,13,-1,15302,328,1,5175.84,28.77,2705.6,0.9130100532229452
full sheets,B00O35DAL4,1,11,12,1,13383,336,9,5097.12,258.93,2352.33,1.1668388363877518
pillow cases queen size set of 2,B01LZP8460,1,43,28,-15,10271,525,0,4982.25,0.0,3716.9,0.34043154241437756
white sheets queen set,"B00NLLUMOE, B00NQDGAP2",2,3,4,1,3071,283,29,4805.34,825.63,2648.88,0.8141025641025641
cal king sheet set,B00NQDGAP2,1,13,19,6,7593,178,3,4804.219999999999,96.81,2909.0299999999997,0.6514852029714371
twin sheet set,"B00NQDGAP2, B0BTZ5QFD7",2,19,21,2,10298,369,2,4409.55,69.94,2877.12,0.5326263763763764
