period,orders,units,gross_item_sales,item_promo_discount,net_item_sales,shipping_promo_discount_excluded
current,46982,58555,1913335.7599999988,14411.859999999993,1898923.8999999987,14391.56
prior,9169,11923,462901.3699999998,5743.99,457157.37999999983,7296.6900000000005
