promo_label,orders,units,gross_item_sales,item_promo_discount,net_item_sales,shipping_promo_discount_excluded
LD,1198,1317,53333.490000000005,9637.720000000005,43695.770000000004,1105.6800000000012
fec664a8-f0a6-41d6-8a5f-fa32e8869a83,1347,1961,63472.74000000002,4767.139999999999,58705.60000000002,415.21000000000015
Duplicated A3JU1FCINF5SD0 1569460229772,1,1,36.97,7.0,29.97,7.61
