week_start,week_end,gross_sales,sessions,units,unit_conversion
2026-06-14,2026-06-20,445022.1500000019,174562,11806,0.067632130704277
2026-06-21,2026-06-27,1897066.8900000004,1123237,58262,0.05186973007477496
