keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow
queen sheets,"B00NLLUMOE, B0BTZ5HGMB",2,40,46,6,74470,2592,66,49740.48,2440.02,45030.96,0.10458404617623085
king size sheets set,B00NQDGAP2,1,17,15,-2,65429,1793,30,45703.57,1229.1,50598.24,-0.09673597342516259
queen sheet set,B00NLLUMOE,1,12,11,-1,56097,2065,42,34051.85,1552.74,30016.260000000002,0.13444679650296193
twin xl sheets,B016P42ARU,1,24,39,15,67724,1746,3,27901.08,104.91,25157.94,0.10903674943178986
queen bed sheets,B00NLLUMOE,1,20,21,1,33175,1121,9,22408.789999999997,332.73,21689.149999999998,0.03317972350230412
king sheets,B00NQDGAP2,1,14,12,-2,28903,863,41,21997.87,1679.77,22393.14,-0.017651387880395535
full size sheets,B00O35DAL4,1,22,20,-2,39577,1193,12,16892.88,431.64,17147.76,-0.014863748967795059
twin sheets,B00O35CWQ8,1,34,36,2,34013,1187,4,15407.26,139.88,12881.699999999999,0.19605797371464959
twin sheets set,B00O35CWQ8,1,19,13,-6,26991,1064,2,14885.36,69.94,14050.44,0.05942305009665178
sheets queen size bed set,B00NLLUMOE,1,12,10,-2,28276,669,32,14209.56,1183.04,18792.48,-0.24386988838088428
queen duvet cover,B079YXK5SN,1,44,43,-1,27424,509,0,12969.32,0.0,12955.199999999999,0.0010899098431518465
california king sheet sets,B00O35DNS4,1,31,24,-7,17959,496,1,12891.039999999999,40.97,14709.55,-0.12362784721490462
pillow cases standard size,"B00RKHWJ1O, B0822YG3V8",2,73,65,-8,19613,1068,0,12162.74,0.0,9781.12,0.24349154289079356
bed sheets queen size,B00NLLUMOE,1,24,17,-7,22926,550,7,11682.0,258.78999999999996,12669.929999999998,-0.07797438502028019
sheets,"B00NLLUMOE, B0BTZ5HGMB",2,54,39,-15,58970,481,25,11399.699999999999,924.25,13394.64,-0.1489356936804573
bed sheets,B00NLLUMOE,1,14,17,3,64171,517,5,10981.08,184.85,12230.679999999998,-0.10216929884519901
twin bed sheets,B00O35CWQ8,1,43,36,-7,30663,776,0,10545.84,0.0,9476.18,0.11287881825799001
queen size sheets,B00NLLUMOE,1,29,25,-4,16612,573,3,9735.269999999999,108.69,9372.960000000001,0.038654811286935785
king size sheets,B00NQDGAP2,1,16,17,1,14072,387,4,9671.13,163.88,7874.49,0.22815953795102914
king sheet set,"B00NQDGAP2, B0BTZ24S9W",2,51,48,-3,13141,408,8,9379.92,327.76,9356.099999999999,0.0025459326001220093
cooling sheets,B00NQDGAP2,1,39,41,2,39985,321,0,9145.289999999999,0.0,7122.5,0.28399999999999986
cooling sheets queen,"B00NLLUMOE, B0BTZ5HGMB",2,51,50,-1,19680,363,0,9071.369999999999,0.0,10256.58,-0.11555606254716494
deep pocket queen sheets,B0822X4TLW,1,41,47,6,17842,348,0,8452.92,0.0,7796.879999999999,0.08414134884723132
queen sheets deep pocket,B00NLLUMOE,1,28,24,-4,10960,337,6,8000.379999999999,221.82,7521.99,0.06359886147149882
xl twin sheets,B016P42ARU,1,44,51,7,11201,381,0,7444.74,0.0,6206.06,0.19959201167890728
king bed sheets,B00NQDGAP2,1,15,14,-1,13571,271,4,6907.79,163.88,8587.72,-0.19562002487272517
full size bed sheets,B00O35DAL4,1,23,34,11,19637,450,2,6895.5,71.94,7493.860000000001,-0.07984670116602133
queen fitted sheet only,B01ES3L33W,1,88,90,2,12532,660,0,6593.400000000001,0.0,6643.35,-0.007518796992481175
cooling sheets king size,B00NQDGAP2,1,48,36,-12,12823,189,0,6235.110000000001,0.0,5668.11,0.10003334444814956
sheets king size,B00NQDGAP2,1,16,16,0,10682,206,9,6177.94,368.73,6747.75,-0.0844444444444445
queen sheets set,B00NLLUMOE,1,15,12,-3,6862,288,6,6117.12,221.82,5686.98,0.07563592627369893
deep pocket king sheet set,B0822X1VP7,1,48,46,-2,11048,240,0,5997.599999999999,0.0,5744.25,0.04410497453975706
twin fitted sheet,B00O35CWQ8,1,52,47,-5,12887,551,0,5504.49,0.0,6400.88,-0.14004168176875684
fitted sheet queen,"B00NLLUMOE, B01ES3L33W",2,50,49,-1,12785,415,0,5390.85,0.0,4923.839999999999,0.09484670501072358
pillowcases,"B00RKHWJ1O, B0822YG3V8",2,44,56,12,15437,530,0,5289.400000000001,0.0,4960.06,0.06639839034205233
king fitted sheet only,B00NQDGAP2,1,56,54,-2,7025,315,0,5036.849999999999,0.0,4961.6900000000005,0.015148064469968688
king size bed sheets,B00NQDGAP2,1,17,18,1,8530,195,1,4970.549999999999,40.97,6387.87,-0.2218767758266841
pillow case,"B00RKHWJ1O, B0822YG3V8",2,50,61,11,13067,490,1,4890.2,17.97,5001.2300000000005,-0.02220053866748793
california king sheets,B00NQDGAP2,1,17,18,1,5415,183,1,4756.17,40.97,4336.9,0.0966750443865435
king sheets deep pocket,B0822X1VP7,1,33,39,6,8118,185,0,4715.65,0.0,5242.16,-0.10043760587238852
queen size sheet set,B00NLLUMOE,1,29,23,-6,7056,226,3,4517.74,110.91,3746.6000000000004,0.20582394704532092
full sheet set,B00O35DAL4,1,11,11,0,9485,318,5,4502.88,179.85,4432.08,0.01597444089456873
bed sheets king size,B00NQDGAP2,1,15,14,-1,8297,158,1,4501.42,40.97,4138.62,0.08766207093185656
sheets full size bed,B00O35DAL4,1,13,10,-3,8730,209,3,4261.51,107.91,4701.759999999999,-0.09363514939086622
bed sheets full size,B00O35DAL4,1,13,15,2,10468,237,1,4239.93,35.97,3997.9999999999995,0.060512756378189286
pillow cases queen size set of 2,B014MVUDWM,1,52,51,-1,7902,413,0,4125.87,0.0,4191.6,-0.015681362725451013
queen fitted sheet,B00NLLUMOE,1,57,69,12,7470,356,0,3556.44,0.0,3546.4500000000003,0.0028169014084506424
twin sheet set,B00O35CWQ8,1,27,14,-13,7435,263,1,3547.87,34.97,3090.84,0.14786595229775715
white pillow cases set of 2,B00RKHX3E6,1,46,40,-6,4347,496,0,3467.04,0.0,3693.52,-0.06131820052416124
full bed sheets,B00O35DAL4,1,21,27,6,10112,228,2,3376.6800000000003,71.94,3540.0,-0.0461355932203389
white sheets queen set,B00NLLUMOE,1,5,4,-1,2177,206,11,3335.1400000000003,406.66999999999996,2800.8700000000003,0.19075144508670516
full sheets,B00O35DAL4,1,12,12,0,6655,205,4,2902.8,143.88,2945.28,-0.014423076923076929
sheet & pillowcase sets,B00NLLUMOE,1,12,14,2,20494,105,1,2798.9499999999994,36.97,3298.68,-0.15149393090569577
cal king sheet set,B00O35DNS4,1,27,17,-10,4536,107,0,2780.93,0.0,3238.9199999999996,-0.14140207229570345
white sheets,B00NLLUMOE,1,9,9,0,5808,182,4,2728.18,147.88,2728.18,0.0
twin sheets set kids,B00O35CWQ8,1,58,65,7,4539,128,0,2429.44,0.0,0.0,
white king sheets,B00NQDGAP2,1,4,30,26,1002,117,12,2315.43,491.64,2236.27,0.03539823008849551
white queen sheets,B00NLLUMOE,1,5,6,1,1030,140,3,2266.6000000000004,110.91,2719.92,-0.16666666666666655
king size fitted sheets only,"B00NQDGAP2, B01ES3MMYG",2,59,63,4,3644,136,0,2038.64,0.0,2218.52,-0.08108108108108103
cal king sheets,B00NQDGAP2,1,18,18,0,2671,75,0,1949.2499999999998,0.0,1949.35,-5.1299150999120954e-05
fitted sheet,B00NQDGAP2,1,29,31,2,10112,124,0,1858.76,0.0,1649.73,0.12670558212555993
twin xl sheet sets,B016P42ARU,1,35,40,5,4218,92,0,1797.6799999999998,0.0,1711.8999999999999,0.05010806705999181
cooling bed sheets,B00O35DAL4,1,69,34,-35,9734,65,0,1656.85,0.0,1889.37,-0.12306747751896134
queen sheet set deep pocket,B00NLLUMOE,1,31,28,-3,2636,77,0,1635.4799999999998,0.0,1699.32,-0.0375679683638162
sheet set,B00NLLUMOE,1,12,15,3,11485,85,2,1614.1499999999999,73.94,1820.6100000000001,-0.11340155222700098
split king sheets,"B01N10ETBD, B0BTZ68TRH",2,42,42,0,2789,26,1,1559.74,44.97,1363.52,0.14390694672612064
extra deep pocket queen sheets,B0822X4TLW,1,18,15,-3,3879,66,0,1496.8799999999999,0.0,1769.04,-0.15384615384615388
white sheets full,B00O35DAL4,1,6,5,-1,1055,81,4,1165.5900000000001,143.88,980.0,0.18937755102040832
flat sheets only,B01ETTFKIE,1,69,81,12,4968,86,0,987.7099999999999,0.0,1088.91,-0.09293697367091877
twin flat sheet,"B00NLLUMOE, B01ETTEBIO",2,60,60,0,3046,97,0,969.03,0.0,879.6199999999999,0.10164616538960015
california king bed sheets,B00O35DPN2,1,26,17,-9,1231,29,1,869.7099999999999,44.97,599.8,0.44999999999999996
