keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow
king flat sheet,"B00NQDGAP2, B01ETTFKIE",2,33,29,-4,1954,62,1,805.38,19.97,714.45,0.1272727272727272
queen flat sheet only,B01ETTDTSM,1,29,27,-2,1628,78,0,779.22,0.0,839.16,-0.07142857142857136
white bed sheets,B00NLLUMOE,1,11,21,10,2306,54,1,777.0600000000001,36.97,672.0,0.1563392857142858
rv queen sheets,"B08V8V7VZF, B08V93R9LN",2,15,14,-1,1186,27,0,687.4200000000001,0.0,1349.4599999999998,-0.490596238495398
king split sheets for adjustable bed,"B07BKMKJKQ, B0BTZ68TRH",2,42,37,-5,790,17,1,679.83,46.97,0.0,
short queen sheets for rv,B08V8V7VZF,1,12,10,-2,787,26,0,666.12,0.0,1030.71,-0.3537270425240854
flat sheet,"B00NQDGAP2, B01ETTFKIE",2,49,64,15,4125,54,0,539.46,0.0,669.33,-0.19402985074626866
grey queen sheet set,"B00SBZJ8NG, B0BTZ4CFWV",2,20,17,-3,351,17,0,361.08,0.0,440.51,-0.18031372727066358
king size sheet sets,B00NQDGAP2,1,15,10,-5,890,8,0,239.92,0.0,599.8,-0.6000000000000001
grey queen sheets,B00NLLUP4G,1,12,11,-1,240,16,1,216.0,39.97,0.0,
rv sheets,B08V8V7VZF,1,14,21,7,639,6,0,153.12,0.0,199.92,-0.23409363745498193
light grey sheets,B00SBZJ8NG,1,19,21,2,0,0,0,0.0,0.0,0.0,
gray king size sheets,B00SU0QSZ8,1,19,20,1,0,0,0,0.0,0.0,0.0,
king size flat sheet only,"B00NQDGAP2, B01ETTFKIE",2,54,57,3,0,0,0,0.0,0.0,0.0,
gray sheets full,B00SUF39K0,1,17,19,2,0,0,0,0.0,0.0,0.0,
gray sheets,"B00SUF39K0, B0BTZ51FTP",2,32,34,2,0,0,0,0.0,0.0,0.0,
grey sheets full,B00SUF39K0,1,64,66,2,0,0,0,0.0,0.0,0.0,
grey full size sheets,B00SUF39K0,1,82,64,-18,0,0,0,0.0,0.0,0.0,
twin fitted sheets 2 pack,B016P42ARU,1,61,43,-18,0,0,0,0.0,0.0,0.0,
kids twin sheets,B00NLLUMOE,1,17,72,55,0,0,0,0.0,0.0,0.0,
dark grey sheets,B00NLLUP4G,1,48,40,-8,0,0,0,0.0,0.0,0.0,
top split king sheets sets for adjustable bed,B00NQDGAP2,1,37,32,-5,0,0,0,0.0,0.0,0.0,
gray twin sheets,B016P42E9E,1,65,29,-36,0,0,0,0.0,0.0,0.0,
twin xl fitted sheet,B01ES3MHXC,1,84,85,1,0,0,0,0.0,0.0,0.0,
fitted sheet king,B01ES3MMYG,1,63,51,-12,0,0,0,0.0,0.0,2086.07,-1.0
grey king size sheets set,B00NQDGCW8,1,62,67,5,0,0,0,0.0,0.0,0.0,
grey sheets king,B00NQDGCW8,1,48,52,4,0,0,0,0.0,0.0,0.0,
grey sheets queen size,"B00NLLUP4G, B0BTZ4CFWV",2,23,23,0,0,0,0,0.0,0.0,0.0,
fitted sheet full,B00O35DAL4,1,48,48,0,0,0,0,0.0,0.0,1408.59,-1.0
