asin,collection,size,color,sales,prior_sales,sessions,prior_sessions,units,prior_units,conversion,prior_conversion,conversion_change_pp,sales_delta,sales_wow
B01MY7SCEE,1800 Bed Sheets,Split King,Gray,234.85,187.88,72,38,5,4,0.06944444444444445,0.10526315789473684,-0.03581871345029239,46.97,0.25
B07M5MCW2R,1800 Pillowcase Set 2 pc,Set of 2 Standard Size,Spa Blue,233.60999999999999,287.52,69,76,13,16,0.18840579710144928,0.21052631578947367,-0.022120518688024393,-53.91,-0.1875
B00RKHX5CQ,1800 Pillowcase Set 2 pc,Set of 2 King Size,Beige,233.60999999999999,107.82,40,34,13,6,0.325,0.17647058823529413,0.14852941176470588,125.78999999999999,1.1666666666666667
B0822VSKCD,1800 Bed Sheet Set With DEEP Fitted Sheet,Full,Beige,229.85,91.94,60,67,5,2,0.08333333333333333,0.029850746268656716,0.05348258706467661,137.91,1.5
B0822Z2JQL,1800 Bedskirt,Cal King,Beige,229.7,114.85,105,64,10,5,0.09523809523809523,0.078125,0.017113095238095233,114.85,1.0
B01DN0AFSU,1800 Bed Sheets,Full,Yellow,227.82,189.09,196,155,6,5,0.030612244897959183,0.03225806451612903,-0.0016458196181698484,38.72999999999999,0.20482310011105817
B0CLY95T5V,1800 Bed Sheets,Full,Burgundy,227.82,189.85,63,56,6,5,0.09523809523809523,0.08928571428571429,0.005952380952380945,37.97,0.2
B0DGQQYPRL,1800 Bed Sheets,Full,Oxford Stripe Sage,227.82,189.09,133,106,6,5,0.045112781954887216,0.04716981132075472,-0.002057029365867505,38.72999999999999,0.20482310011105817
B0112XOOZ0,1800 Bed Sheets,Full,Tan,227.82,493.61,119,93,6,13,0.05042016806722689,0.13978494623655913,-0.08936477816933223,-265.79,-0.5384615384615384
B00ZSGVXS4,1800 Bed Sheets,Full,Striped Gray/Silver,227.82,227.06,115,103,6,6,0.05217391304347826,0.05825242718446602,-0.006078514140987763,0.7599999999999909,0.0033471329164097194
B00WAIGXVU,1800 Bed Sheets,Full,Black,227.06,265.78999999999996,71,81,6,7,0.08450704225352113,0.08641975308641975,-0.001912710832898623,-38.72999999999996,-0.145716543135558
