week_start,week_end,gross_sales,sessions,units,unit_conversion
2026-07-12,2026-07-18,412837.65999999444,152478,10984,0.07203662167656974
2026-07-19,2026-07-25,417764.5900000016,166822,11072,0.06637014302669912
