collection,sales,prior_sales,sessions,prior_sessions,units,prior_units,unit_conversion,prior_conversion,conversion_pp,sales_delta,sales_wow
1800 Bed Sheets,295344.51000000036,291515.6200000017,123767,110964,7684,7542,0.06208440052679632,0.06796798961825457,-0.005883589091458245,3828.889999998675,0.013134424838019496
1800 Bed Sheet Set With DEEP Fitted Sheet,71301.01999999997,67526.55000000025,22752,21152,1450,1370,0.06373066104078762,0.06476928895612707,-0.0010386279153394573,3774.4699999997247,0.05589608827934658
1800 Pillowcase Set 2 pc,11415.77,13409.559999999983,2939,3661,636,750,0.21640013610071454,0.20486205954657197,0.011538076554142573,-1993.7899999999827,-0.14868422230110348
1800 Bed Sheet Set 6 PIECE,14129.880000000001,12604.78999999999,3110,3116,335,292,0.10771704180064309,0.09370988446726572,0.014007157333377374,1525.090000000011,0.12099289238456272
Cotton Flannel Sheet Set 160GSM,1345.2200000000003,2615.4600000000005,535,607,26,52,0.048598130841121495,0.085667215815486,-0.03706908497436451,-1270.2400000000002,-0.4856660013917246
1800 Fitted Sheet,3423.9000000000005,4501.309999999993,1531,1353,171,225,0.11169170476812541,0.1662971175166297,-0.05460541274850429,-1077.4099999999926,-0.2393547656126759
Cotton Flannel Sheet Set 180GSM,305.85,1291.3400000000001,303,359,5,22,0.0165016501650165,0.06128133704735376,-0.04477968688233726,-985.4900000000001,-0.7631530038564592
1800 Duvet Cover Set,2471.3500000000004,1605.6700000000005,941,891,67,45,0.07120085015940489,0.050505050505050504,0.020695799654354384,865.6799999999998,0.5391394246638472
1800 Bedskirt,5850.780000000002,5103.799999999995,4110,3791,278,241,0.06763990267639902,0.06357161698760222,0.004068285688796802,746.9800000000068,0.14635761589404123
"1800 Fitted Sheet 21"" Deep",1810.7700000000004,1426.230000000001,993,881,76,59,0.07653575025176233,0.06696935300794551,0.009566397243816818,384.5399999999995,0.26961990702761773
1800 Flat Sheet,1546.5400000000004,1925.9100000000012,1001,927,82,103,0.08191808191808192,0.1111111111111111,-0.029193029193029185,-379.3700000000008,-0.19698220581439452
1800 Ultrasonic Coverlet,260.85,487.73,563,947,5,9,0.008880994671403197,0.009503695881731784,-0.0006227012103285877,-226.88,-0.46517540442457916
1800 Pillow Shams 2 piece,1032.0300000000002,1242.2100000000005,643,696,71,84,0.1104199066874028,0.1206896551724138,-0.010269748485010999,-210.1800000000003,-0.1691984447074168
1800 Pillowcase Set 4 pc,2203.2,2407.3199999999997,390,348,83,91,0.2128205128205128,0.2614942528735632,-0.04867374005305039,-204.1199999999999,-0.08479138627187076
400TC Cotton Sheet Set,329.85,204.91,222,170,5,3,0.02252252252252252,0.01764705882352941,0.00487546369899311,124.94000000000003,0.6097311014591773
1800 Bed Sheet Set 6 PC With DEEP Fitted Sheet,4676.280000000001,4594.449999999998,1475,1256,91,85,0.06169491525423729,0.06767515923566879,-0.005980243981431502,81.83000000000266,0.01781061933419728
Ruffle Skirt Bedspread Solid,0.0,59.97,12,17,0,1,0.0,0.058823529411764705,-0.058823529411764705,-59.97,-1.0
Mattress Pads Waterproof,0.0,45.46,14,17,0,2,0.0,0.11764705882352941,-0.11764705882352941,-45.46,-1.0
Velvet Ultrasonic Coverlet,107.94,67.97,60,49,2,1,0.03333333333333333,0.02040816326530612,0.012925170068027212,39.97,0.588053553038105
Silk Pillowcase,208.85,186.43,85,84,5,6,0.058823529411764705,0.07142857142857142,-0.01260504201680672,22.419999999999987,0.1202596148688515
Faux Leather Pillow Cover,0.0,14.97,13,9,0,1,0.0,0.1111111111111111,-0.1111111111111111,-14.97,-1.0
Toddler 1800 Fitted Sheet,0.0,0.0,5,1,0,0,0.0,0.0,0.0,0.0,
Unmapped,0.0,0.0,7,14,0,0,0.0,0.0,0.0,0.0,
Bundles,0.0,0.0,97,64,0,0,0.0,0.0,0.0,0.0,
1800 Duvet Cover Set Velvet Stripe,0.0,0.0,7,12,0,0,0.0,0.0,0.0,0.0,
Microfiber Pillow Covers w/zipper,0.0,0.0,10,7,0,0,0.0,0.0,0.0,0.0,
Duvet Cover Set Flannel,0.0,0.0,11,6,0,0,0.0,0.0,0.0,0.0,
Bundles_virtual,0.0,0.0,1207,1065,0,0,0.0,0.0,0.0,0.0,
Ruffle Skirt Bedspread Ruffle,0.0,0.0,9,7,0,0,0.0,0.0,0.0,0.0,
Duvet Cover Set Faux Fur,0.0,0.0,10,7,0,0,0.0,0.0,0.0,0.0,
