period,orders,units,gross_item_sales,item_promo_discount,net_item_sales,shipping_promo_discount_excluded
current,8700,11217,424651.02999999956,10656.490000000005,413994.5399999996,5456.960000000002
prior,8443,10791,405184.72999999963,6579.95,398604.7799999996,5479.790000000001
