week_start,week_end,gross_sales,sessions,units,unit_conversion,br_gross_sales_control
2026-06-21,2026-06-27,1901429.2000000468,1123237,58138,0.0517593348509709,1896076.0899999612
2026-06-28,2026-07-04,415233.1300000046,157412,11131,0.0707125250933855,415114.659999988
