asin,collection,size,color,sales,prior_sales,sessions,prior_sessions,units,prior_units,conversion,prior_conversion,conversion_change_pp
B00NLLUMOE,1800 Bed Sheets,Queen,White,55736.58,240633.96999999997,20862,198665,1515,8203,0.0726200747771067,0.04129061485415146,0.031329459922955244
B00NQDGAP2,1800 Bed Sheets,King,White,37058.93,153229.62000000002,10153,63461,911,4612,0.08972717423421649,0.07267455602653598,0.017052618207680503
B00O35DAL4,1800 Bed Sheets,Full,White,14518.800000000001,48647.46,3202,13477,415,1646,0.12960649594003748,0.12213400608444015,0.007472489855597328
B00O35CWQ8,1800 Bed Sheets,Twin,White,9070.470000000001,25398.66,1195,105750,264,729,0.22092050209205022,0.006893617021276595,0.21402688507077364
B0822X1VP7,1800 Bed Sheet Set With DEEP Fitted Sheet,King,White,8508.93,49135.67999999999,2314,23434,170,1174,0.07346585998271392,0.05009814799009985,0.023367711992614067
B00SBZJ8NG,1800 Bed Sheets,Queen,Light Gray,7343.280000000001,28784.75,2751,14951,184,896,0.06688476917484551,0.059929101732325595,0.006955667442519915
B0CLYC7B2G,1800 Bed Sheets,Queen,Ivory,6149.78,23905.809999999998,2422,18416,157,743,0.064822460776218,0.04034535186794092,0.024477108908277083
B016P42ARU,1800 Bed Sheets,Twin XL,White,5943.12,26893.010000000002,1428,8597,180,948,0.12605042016806722,0.11027102477608468,0.015779395391982545
B0822X4TLW,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,White,5865.61,38639.17,2077,17449,128,1006,0.061627347135291284,0.05765373373832311,0.0039736133969681744
B08RZDBZZJ,1800 Bed Sheets,Queen,Golden Ivory,4354.33,21609.07,2040,15612,110,674,0.05392156862745098,0.04317191903663848,0.010749649590812503
B0CLYDPTWV,1800 Bed Sheets,King,Ivory,4253.17,28730.14,1810,12438,101,824,0.05580110497237569,0.06624859302138608,-0.01044748804901039
B08RZCYC5X,1800 Bed Sheets,King,Golden Ivory,3607.7599999999998,18216.170000000002,1520,9174,84,521,0.05526315789473684,0.05679093089165032,-0.001527772996913479
B08RZFVS95,1800 Bed Sheets,Queen,Sage,3553.3299999999995,17343.68,1340,9544,94,547,0.07014925373134329,0.05731349538977368,0.012835758341569609
B00SU0QSZ8,1800 Bed Sheets,King,Light Gray,3520.1000000000004,19847.87,1424,16835,83,569,0.05828651685393258,0.0337986337986338,0.02448788305529878
B00NLLUP4G,1800 Bed Sheets,Queen,Gray,3394.2499999999995,13528.539999999999,1412,7351,86,423,0.060906515580736544,0.05754319140253027,0.003363324178206277
B00RKHWJ1O,1800 Pillowcase Set 2 pc,Set of 2 Standard Size,White,3208.6200000000003,6710.88,443,3769,181,430,0.40857787810383744,0.11408861767046961,0.2944892604333678
B01DN0AOW2,1800 Bed Sheets,Queen,Spa Mint,3156.8300000000004,12466.490000000002,1593,12691,79,387,0.04959196484620213,0.030494050902214166,0.019097913943987965
B0BTZ5HGMB,1800 Bed Sheet Set 6 PIECE,Queen,White,3135.83,8102.51,726,2405,77,234,0.10606060606060606,0.0972972972972973,0.00876330876330876
B08RZBVSZR,1800 Bed Sheets,Queen,Blush Pink,2956.98,18063.11,1553,11043,76,563,0.0489375402446877,0.05098252286516345,-0.002044982620475748
B01DN0AJXQ,1800 Bed Sheets,Queen,Blue Hydrangea,2677.19,14716.650000000001,1351,9269,68,456,0.050333086602516654,0.04919624554968174,0.0011368410528349165
B0CNRZBCFQ,1800 Bed Sheets,Queen,Sky Blue,2637.2200000000003,13180.460000000003,1242,8949,66,408,0.05314009661835749,0.045591686221924235,0.007548410396433253
B0DGQSDWFD,1800 Bed Sheets,Queen,Mineral Gray,2597.2499999999995,12212.54,1278,9449,65,382,0.05086071987480438,0.04042755847179596,0.010433161403008422
B00NLLUNSE,1800 Bed Sheets,Queen,Beige,2595.65,13294.96,1248,4686,65,409,0.052083333333333336,0.08728126333760136,-0.035197930004268026
B00O35DNS4,1800 Bed Sheets,California King,White,2562.39,10296.57,545,4487,57,281,0.10458715596330276,0.06262536215734343,0.041961793805959324
B01DN0AQN4,1800 Bed Sheets,King,Blue Hydrangea,2234.44,13411.85,867,5487,53,383,0.06113033448673587,0.06980134864224531,-0.008671014155509443
B00NQDGBTC,1800 Bed Sheets,King,Beige,2234.44,10651.849999999999,637,2432,52,305,0.08163265306122448,0.12541118421052633,-0.043778531149301844
B00RKHX3E6,1800 Pillowcase Set 2 pc,Set of 2 King Size,White,2227.7200000000003,4295.4,289,789,133,282,0.4602076124567474,0.3574144486692015,0.10279316378754588
B00NLNDP1Y,1800 Bed Sheets,Queen,Aqua,2157.58,9166.62,1061,7799,56,286,0.0527803958529689,0.036671368124118475,0.016109027728850422
B00NQDGCW8,1800 Bed Sheets,King,Gray,2143.34,10277.7,668,3895,50,295,0.0748502994011976,0.07573812580231065,-0.0008878264011130538
B0822XQ9DZ,1800 Bed Sheet Set With DEEP Fitted Sheet,California King,White,2129.73,11764.810000000001,560,7610,42,275,0.075,0.03613666228646518,0.03886333771353482
B08RZDH679,1800 Bed Sheets,King,Sage,2105.53,13547.5,842,5578,50,389,0.05938242280285035,0.06973825743994264,-0.010355834637092283
B08RZF62QM,1800 Bed Sheets,Full,Blush Pink,2049.6200000000003,6698.51,564,2693,54,214,0.09574468085106383,0.07946528035647976,0.016279400494584068
B01DN0AW8I,1800 Bed Sheets,King,Spa Mint,2019.5899999999997,16290.759999999998,1126,10031,47,468,0.041740674955595025,0.04665536835808992,-0.004914693402494896
B08RZDCWPX,1800 Bed Sheets,Queen,Teal,1918.5600000000002,7752.9400000000005,784,5228,48,242,0.061224489795918366,0.046289211935730684,0.014935277860187682
B08CZZ4SYJ,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Spa Mint,1818.9500000000003,9098.259999999998,543,4887,36,214,0.06629834254143646,0.04378964599959075,0.02250869654184571
B0112XNCS0,1800 Bed Sheets,King,Tan,1803.8799999999999,7855.449999999999,438,1933,42,225,0.0958904109589041,0.11639937920331092,-0.020508968244406817
B0BMWCNGW8,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Golden Ivory,1797.92,7984.120000000001,402,3269,36,198,0.08955223880597014,0.06056898133985929,0.028983257466110857
B0822Y7786,1800 Bed Sheet Set With DEEP Fitted Sheet,Full,White,1743.1799999999998,6779.34,474,4639,39,177,0.08227848101265822,0.03815477473593447,0.044123706276723754
B01DN0ALM0,1800 Bed Sheets,Queen,Emerald Green,1717.91,6733.76,772,4689,43,209,0.05569948186528497,0.04457240349754745,0.01112707836773752
B0822WBGD9,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Beige,1715.0100000000002,7144.15,408,2824,33,169,0.08088235294117647,0.05984419263456091,0.021038160306615566
B0822W82LP,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Blue Hydrangea,1715.01,10865.26,391,3299,33,256,0.08439897698209718,0.07759927250682025,0.0067997044752769326
B00SUF39K0,1800 Bed Sheets,Full,Light Gray,1707.13,6610.27,394,3009,45,213,0.11421319796954314,0.0707876370887338,0.043425560880809344
B0CNRZ4Y1C,1800 Bed Sheets,Queen,Blue Nova,1677.94,9782.880000000001,715,4670,42,304,0.05874125874125874,0.06509635974304069,-0.0063551010017819515
B0822X9LJN,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Light Gray,1660.54,12653.19,464,3846,32,297,0.06896551724137931,0.07722308892355695,-0.008257571682177639
B0822WHPQZ,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Blue Hydrangea,1649.01,6386.39,373,2550,34,155,0.09115281501340483,0.060784313725490195,0.030368501287914636
