period,orders,units,gross_item_sales,item_promo_discount,net_item_sales,shipping_promo_discount_excluded
prior,45620,58311,1901429.2000000435,14706.0,1886723.2000000435,14374.850000000024
current,8278,11124,415233.1300000046,5503.6399999999985,409729.4900000046,5307.180000000009
