keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow
king size sheets set,B00NQDGAP2,1,11,9,-2,61036,1672,34,50143.28,1392.98,53380.88,-0.06065092969617583
queen sheets,"B00NLLUMOE, B0BTZ5HGMB",2,11,11,0,79454,2584,78,49044.32,2883.66,70519.68,-0.30453002622813935
queen sheet set,B00NLLUMOE,1,11,10,-1,53864,1745,36,31392.549999999996,1330.92,52522.469999999994,-0.40230248120471107
king sheets,B00NQDGAP2,1,9,9,0,27873,865,28,24643.85,1147.1599999999999,43613.82,-0.4349531868568266
queen bed sheets,B00NLLUMOE,1,14,12,-2,30575,972,18,24290.28,665.46,29136.480000000003,-0.16632757285711947
twin xl sheets,B016P42ARU,1,36,23,-13,52067,1544,2,19469.84,69.94,52002.88,-0.6256007359592392
sheets queen size bed set,B00NLLUMOE,1,12,10,-2,28748,696,31,17393.039999999997,1146.07,26395.44,-0.341058910175394
full size sheets,B00O35DAL4,1,16,13,-3,38436,1107,12,15929.730000000001,431.64,27032.94,-0.41072891072891066
duvet cover,B079YXK5SN,1,55,80,25,94957,552,0,14939.880000000001,,28206.36,-0.4703364773051184
california king sheet sets,B00NQDGAP2,1,19,16,-3,18105,508,0,14218.92,,16517.2,-0.13914464921415257
twin sheets,B00NLLUMOE,1,26,44,18,32420,1390,3,13900.0,110.91,21069.62,-0.34028235915028365
twin sheets set,B00O35CWQ8,1,22,13,-9,26892,1305,3,13689.45,104.91,20836.420000000002,-0.3430037405657978
queen duvet cover,B079YXK5SN,1,44,36,-8,24256,504,0,13098.96,,18892.44,-0.306655995731626
pillow cases standard size,B0822YG3V8,1,45,44,-1,19350,1090,0,13069.1,,14182.08,-0.0784779101514023
sheets,"B00NLLUMOE, B00NQDGAP2",2,11,11,0,54516,522,22,13044.779999999999,813.3399999999999,30155.54,-0.5674167996991598
bed sheets,"B00NLLUMOE, B0BTZ5HGMB",2,12,27,15,63503,494,7,12345.06,258.78999999999996,20139.64,-0.38702677902882077
bed sheets queen size,B00NLLUMOE,1,10,11,1,21980,479,4,11970.21,147.88,15161.119999999999,-0.21046664098694556
king duvet cover,B07GQ38TP8,1,55,56,1,23287,389,0,11666.109999999999,,17806.25,-0.3448306072306073
cooling sheets queen,"B00NLLUMOE, B0BTZ5HGMB",2,27,34,7,22311,360,2,10796.4,73.94,15818.669999999998,-0.31749002918703023
twin bed sheets,B00NLLUMOE,1,38,42,4,26124,945,1,9913.050000000001,37.97,12173.04,-0.18565534985508958
king size sheets,B00NQDGAP2,1,8,9,1,14493,392,5,9796.08,204.85,16777.539999999997,-0.4161194072551756
cooling sheets,B00NLLUMOE,1,30,14,-16,44985,342,1,9743.58,35.97,16644.45,-0.41460486828942983
king sheet set,"B00NQDGAP2, B0BTZ24S9W",2,8,9,1,13222,402,13,9643.98,532.61,18351.84,-0.47449520048125965
queen size sheets,B00NLLUMOE,1,17,17,0,15755,486,0,9224.28,,14411.759999999998,-0.3599477093706805
full size bed sheets,B00O35DAL4,1,17,12,-5,16914,531,4,8480.07,143.88,10793.25,-0.21431728163435484
deep pocket queen sheets,B0822X4TLW,1,31,96,65,16604,315,0,7871.849999999999,,11193.48,-0.29674685620557684
queen sheets deep pocket,B00NLLUMOE,1,17,18,1,10155,287,7,7172.129999999999,278.39000000000004,11951.5,-0.3998970840480275
sheets king size,B00NQDGAP2,1,6,5,-1,10842,236,11,7077.639999999999,450.66999999999996,15624.789999999999,-0.5470249520153551
king size bed sheets,B00NQDGAP2,1,13,10,-3,9153,235,2,7047.65,80.3,10826.34,-0.349027464498621
king bed sheets,B00NQDGAP2,1,9,10,1,12431,310,6,6844.799999999999,245.82,12962.5,-0.47195371263259406
cooling sheets king size,B00NQDGAP2,1,14,12,-2,13379,227,1,6807.73,40.97,11696.099999999999,-0.4179487179487179
pillowcases,"B00RKHWJ1O, B0822YG3V8",2,44,47,3,15325,501,1,6006.99,27.0,7374.77,-0.1854674789857854
cooling pillow cases,B00RKHWL1M,1,31,94,63,13708,481,0,5935.54,,,
twin fitted sheet,"B00NLLUMOE, B01ES3L50S",2,46,43,-3,13024,589,0,5884.11,,7886.1900000000005,-0.25387164143902197
fitted sheet queen,"B00NLLUMOE, B01ES3L33W",2,26,45,19,12718,434,0,5637.66,,7706.33,-0.26843776479854875
queen sheets set,B00NLLUMOE,1,8,9,1,6769,261,10,5634.99,369.7,8795.8,-0.3593544646308465
deep pocket king sheet set,B0822X1VP7,1,39,48,9,9771,193,0,5498.57,,9046.38,-0.39218007645046965
king sheets deep pocket,"B00NQDGAP2, B0822X1VP7",2,33,28,-5,7207,185,0,5270.65,,9784.88,-0.46134750758312826
pillow cases queen size set of 2,B00RKHWJ1O,1,44,43,-1,7435,429,0,5143.71,,4982.25,0.032407045009784745
queen fitted sheet,"B00NLLUMOE, B01ES3L33W",2,26,60,34,7909,393,0,5105.07,,5754.24,-0.11281594094094095
queen size sheet set,B00NLLUMOE,1,10,11,1,6825,237,3,4737.629999999999,110.91,6673.68,-0.29010231236738965
white pillow cases set of 2,B00RKHX3E6,1,33,32,-1,3930,470,0,4695.3,,,
king fitted sheet only,"B00NQDGAP2, B01ES3MMYG",2,36,15,-21,6922,292,0,4669.08,,5754.57,-0.18863094896751623
xl twin sheets,B016P42ARU,1,52,34,-18,9404,360,0,4471.2,,11193.0,-0.6005360493165371
full sheet set,B00O35DAL4,1,14,10,-4,9011,279,2,4014.81,70.5,7417.599999999999,-0.4587454163071613
california king sheets,B00NQDGAP2,1,20,16,-4,4916,151,0,3922.98,,6685.7699999999995,-0.413234376893013
sheet & pillowcase sets,B00NLLUMOE,1,15,19,4,19463,148,6,3698.52,221.82,8989.08,-0.5885541123229519
bed sheets king size,B00NQDGAP2,1,15,10,-5,8288,121,1,3628.79,42.97,7483.98,-0.5151256417040131
sheets full size bed,B00O35DAL4,1,13,11,-2,8004,198,3,3463.0199999999995,107.91,5725.629999999999,-0.39517223432181264
white sheets queen set,B00NLLUMOE,1,3,3,0,2186,191,11,3243.1800000000003,406.66999999999996,4805.34,-0.3250883392226148
cal king sheet set,B00NQDGAP2,1,14,13,-1,4358,108,0,3238.9199999999996,,4804.219999999999,-0.32581771858907377
twin sheet set,B00O35CWQ8,1,23,19,-4,6913,308,0,3230.92,,4409.55,-0.2672903130704947
full bed sheets,B00O35DAL4,1,16,14,-2,8857,210,1,3095.4,35.97,5175.84,-0.4019521468978948
bed sheets full size,B00O35DAL4,1,13,14,1,9726,184,1,2967.3066666666664,35.97,5356.009999999999,-0.44598559997709736
full sheets,B00O35DAL4,1,13,11,-2,5780,197,5,2834.83,179.85,5097.12,-0.4438369118247167
king fitted sheet,"B00NLLUMOE, B01ES3MMYG",2,44,37,-7,4014,170,0,2718.3,,4208.76,-0.3541328087132552
white queen sheets,B00NLLUMOE,1,5,4,-1,1177,140,7,2377.2000000000003,258.78999999999996,3708.5299999999997,-0.358991298439004
white sheets,B00NLLUMOE,1,11,11,0,4832,151,4,2295.2,147.88,3754.3999999999996,-0.38866396761133604
extra deep pocket queen sheets,B0822X4TLW,1,15,24,9,3956,65,1,2274.35,46.97,2440.2,-0.06796574051307266
fitted sheet full,B00O35DAL4,1,45,33,-12,4699,177,0,2210.73,,1968.03,0.12332129083398122
sheet set,B00NLLUMOE,1,12,11,-1,11574,110,8,2142.8,289.84,3819.9,-0.43904290688237907
twin sheets set kids,B00NLLUMOE,1,31,47,16,4624,119,0,2140.81,,,
king size fitted sheets only,"B00NQDGAP2, B01ES3MMYG",2,21,79,58,3704,142,0,2128.58,,,
fitted sheet king,"B00NLLUMOE, B01ES3MMYG",2,31,27,-4,4707,117,0,1987.83,,3402.73,-0.4158131852953364
cooling bed sheets,B00NQDGAP2,1,18,15,-3,9502,61,0,1737.8899999999999,,3304.8399999999997,-0.47413793103448276
