keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow
white king sheets,"B00NLLUMOE, B00NQDGAP2, B00O35DAL4",3,4,4,0,902,96,8,1682.88,327.76,3778.2,-0.5545815467683023
cal king sheets,B00NQDGAP2,1,17,14,-3,2234,55,0,1649.4499999999998,,3137.62,-0.47429899095492767
split king sheets,"B00NQDGAP2, B01N10ETBD, B0822VN7VK, B0BTZ6WFS3",4,9,9,0,2582,34,0,1563.66,,3713.35,-0.5789085327265137
twin xl sheet sets,B016P42ARU,1,34,22,-12,3679,106,0,1439.48,,3748.97,-0.6160332037866401
fitted sheet,B00NLLUMOE,1,21,33,12,8781,110,0,1428.9,,2164.11,-0.3397285720226791
queen sheet set deep pocket,B00NLLUMOE,1,16,18,2,2614,54,0,1349.4599999999998,,2139.08,-0.3691400041139182
rv queen sheets,B00NLLUMOE,1,38,18,-20,1296,47,2,1214.01,69.94,1372.77,-0.11564938044974758
white sheets full,B00O35DAL4,1,5,5,0,858,79,1,1200.8,35.97,1352.8,-0.11235955056179775
king flat sheets only,"B00NQDGAP2, B01ETTFKIE",2,37,27,-10,1984,59,0,1179.4099999999999,,,
twin bed sheets kids,B00NLLUMOE,1,23,23,0,2285,56,0,1062.88,,,
flat sheets only,B00NLLUMOE,1,20,59,39,4965,102,0,978.18,,1397.3999999999999,-0.3
california king bed sheets,"B00NQDGAP2, B00O35DPN2",2,24,16,-8,1172,28,0,839.7199999999999,,1350.96,-0.37842719251495244
twin flat sheet,B00NLLUMOE,1,35,34,-1,2563,91,0,751.66,,,
short queen sheets for rv,B00NLLUMOE,1,32,18,-14,746,29,0,749.0699999999999,,1133.37,-0.3390772651473041
king flat sheet,"B00NQDGAP2, B01ETTFKIE",2,30,24,-6,1614,46,0,643.54,,,
flat sheet,"B00NLLUMOE, B01ETTFKIE",2,22,27,5,3687,63,0,629.37,,733.68,-0.14217369970559365
white bed sheets,"B00NLLUMOE, B00NQDGAP2",2,9,11,2,2146,40,0,608.0,,1206.81,-0.4961924412293567
grey queen sheet set,"B00SBZJ8NG, B0BTZ4CFWV",2,14,11,-3,343,23,0,367.77,,,
gray sheets queen,"B00NLLUP4G, B00SBZJ8NG, B0BTZ4CFWV",3,15,12,-3,304,12,0,299.88,,,
king size sheet sets,B00NQDGAP2,1,6,9,3,722,14,0,292.59999999999997,,316.82,-0.07644719399027848
rv sheets,B0CNRZB226,1,32,15,-17,760,7,0,179.48000000000002,,,
rv bed sheets,B08V93R9LN,1,19,20,1,239,2,0,51.66,,,
