promo_label,orders,units,gross_item_sales,item_promo_discount,net_item_sales,shipping_promo_discount_excluded
LD,471,522,22193.33999999999,3507.900000000001,18685.439999999988,401.4100000000004
3a997123-e65a-40e1-98cb-5f5b52c597fc,189,233,8881.819999999996,965.3900000000002,7916.429999999996,104.22999999999999
4688cb01-4d13-4da0-969c-c0218abe470a,156,214,8004.769999999998,735.7600000000002,7269.0099999999975,78.86999999999999
ab56f037-ed4c-4c10-a9f7-82f12ba813e6,51,64,2471.289999999999,266.09000000000003,2205.199999999999,52.15000000000002
e9d15c97-2b53-460d-9664-a633fe123829,3,3,144.91,21.5,123.41,2.99
Duplicated A3JU1FCINF5SD0 1569460229772,1,1,42.97,7.0,35.97,9.07
