week_start,week_end,gross_sales,sessions,units,unit_conversion,br_gross_sales_control
2026-06-28,2026-07-04,414856.9300000046,157412,11117,0.07062358651182883,414318.1099999968
2026-07-05,2026-07-11,409552.9100000046,139229,10904,0.07831701728806499,409232.31999998767
