period,orders,units,gross_item_sales,item_promo_discount,net_item_sales,shipping_promo_discount_excluded
prior,8269,11113,414856.93000000453,5738.409999999999,409118.52000000456,5450.89000000001
current,8189,10917,409552.9100000045,6039.4000000000015,403513.5100000045,5689.55000000001
