asin,collection,size,color,sales,prior_sales,sessions,prior_sessions,units,prior_units,conversion,prior_conversion,conversion_change_pp
B00NLLUMOE,1800 Bed Sheets,Queen,White,46811.329999999994,55662.64,15631,20862,1273,1513,0.0814407267609238,0.07252420669159237,0.008916520069331427
B00NQDGAP2,1800 Bed Sheets,King,White,33818.2,37140.869999999995,6638,10153,832,911,0.1253389575173245,0.08972717423421649,0.035611783283108
B00O35DAL4,1800 Bed Sheets,Full,White,14270.189999999999,14518.8,2739,3202,411,415,0.15005476451259583,0.12960649594003748,0.020448268572558354
B0822X1VP7,1800 Bed Sheet Set With DEEP Fitted Sheet,King,White,9833.130000000001,8508.93,1963,2314,193,169,0.09831889964340296,0.07303370786516854,0.02528519177823442
B00O35CWQ8,1800 Bed Sheets,Twin,White,7704.570000000001,9070.470000000001,1894,1195,222,264,0.11721224920802534,0.22092050209205022,-0.10370825288402488
B0822X4TLW,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,White,7651.41,5865.61,1727,2077,163,128,0.09438332368268675,0.061627347135291284,0.03275597654739546
B00SBZJ8NG,1800 Bed Sheets,Queen,Light Gray,6635.02,7343.28,2184,2751,167,184,0.07646520146520147,0.06688476917484551,0.009580432290355961
B016P42ARU,1800 Bed Sheets,Twin XL,White,6615.51,5943.12,1388,1428,200,180,0.1440922190201729,0.12605042016806722,0.01804179885210569
B0CLYC7B2G,1800 Bed Sheets,Queen,Ivory,5511.860000000001,6110.61,2143,2422,138,156,0.06439570695286981,0.06440957886044592,-1.387190757611012e-05
B0CLYDPTWV,1800 Bed Sheets,King,Ivory,4638.209999999999,4253.17,1603,1810,109,101,0.06799750467872738,0.05580110497237569,0.012196399706351689
B08RZDBZZJ,1800 Bed Sheets,Queen,Golden Ivory,4436.67,4354.33,1811,2040,113,110,0.0623964660408614,0.05392156862745098,0.008474897413410419
B00NLLUP4G,1800 Bed Sheets,Queen,Gray,4125.33,3394.25,1376,1412,104,86,0.0755813953488372,0.060906515580736544,0.014674879768100661
B00SU0QSZ8,1800 Bed Sheets,King,Light Gray,3264.86,3520.1000000000004,1245,1424,76,83,0.06104417670682731,0.05828651685393258,0.0027576598528947296
B08RZCYC5X,1800 Bed Sheets,King,Golden Ivory,3221.0299999999997,3565.6499999999996,1263,1520,75,83,0.05938242280285035,0.05460526315789474,0.004777159644955613
B08RZBVSZR,1800 Bed Sheets,Queen,Blush Pink,3196.0,2956.98,1314,1553,80,76,0.060882800608828,0.0489375402446877,0.0119452603641403
