keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow
bed sheets king size,B00NQDGAP2,1,15,15,0,8109,138,2,4138.62,80.3,3628.79,0.14049586776859502
bed sheets full size,B00O35DAL4,1,16,13,-3,10569,200,3,3997.9999999999995,107.91,2967.3066666666664,0.347349785214875
queen size sheet set,B00NLLUMOE,1,15,10,-5,6725,220,3,3746.6000000000004,110.91,4737.629999999999,-0.2091826503969282
white pillow cases set of 2,B00RKHWJ1O,1,32,33,1,4441,548,0,3693.52,,4695.3,-0.2133580388899538
queen fitted sheet,"B00NLLUMOE, B01ES3L33W",2,55,26,-29,7480,355,0,3546.4500000000003,,5105.07,-0.30530825238439424
full bed sheets,B00O35DAL4,1,14,16,2,9762,250,3,3540.0,107.91,3095.4,0.14363248691606897
sheet & pillowcase sets,B00NLLUMOE,1,7,15,8,21260,132,2,3298.68,73.94,3698.52,-0.10810810810810814
cal king sheet set,B00NQDGAP2,1,20,14,-6,3857,108,0,3238.9199999999996,,3238.9199999999996,0.0
twin sheet set,B00O35CWQ8,1,22,23,1,7305,258,0,3090.84,,3230.92,-0.04335607195473733
full sheets,B00O35DAL4,1,11,13,2,6290,208,1,2945.28,35.97,2834.83,0.03896177195810693
white sheets queen set,B00NLLUMOE,1,4,3,-1,2112,173,8,2800.8700000000003,295.76,3243.1800000000003,-0.13638157610740073
white sheets,B00NLLUMOE,1,8,11,3,5377,182,4,2728.18,147.88,2295.2,0.18864586964098992
white queen sheets,B00NLLUMOE,1,5,5,0,1307,168,5,2719.92,184.85,2377.2000000000003,0.1441696113074204
king fitted sheet,"B00NQDGAP2, B01ES3MMYG",2,47,44,-3,4181,176,0,2497.44,,2718.3,-0.08124931023065891
white king sheets,"B00NQDGAP2, B00O35DAL4",2,4,4,0,973,113,12,2236.27,491.64,1682.88,0.32883509222285595
king size fitted sheets only,"B00NQDGAP2, B01ES3MMYG",2,38,21,-17,3830,148,0,2218.52,,2128.58,0.04225352112676059
fitted sheet king,B01ES3MMYG,1,59,31,-28,4610,119,0,2086.07,,1987.83,0.049420725112308515
cal king sheets,B0822XQ9DZ,1,75,17,-58,2624,65,0,1949.35,,1649.4499999999998,0.1818181818181819
cooling bed sheets,B00NQDGAP2,1,27,18,-9,9046,63,1,1889.37,36.97,1737.8899999999999,0.08716316913038226
sheet set,"B00NLLUMOE, B00NQDGAP2",2,10,12,2,11585,99,2,1820.6100000000001,71.94,2142.8,-0.1503593429158111
extra deep pocket queen sheets,B0822X4TLW,1,18,15,-3,4172,78,0,1769.04,,2274.35,-0.22217776507573592
twin xl sheet sets,B016P42ARU,1,30,34,4,4009,95,0,1711.8999999999999,,1439.48,0.18924889543446233
queen sheet set deep pocket,B0CLYC7B2G,1,38,16,-22,2631,68,0,1699.32,,1349.4599999999998,0.2592592592592594
fitted sheet,B01ES3L33W,1,72,21,-51,9517,127,0,1649.73,,1428.9,0.15454545454545449
fitted sheet full,B00O35DAL4,1,44,45,1,4686,141,0,1408.59,,2210.73,-0.3628394240816382
split king sheets,"B01N10ETBD, B08RZDTTWQ, B0BTZ68TRH, B0BTZ6WFS3",4,5,9,4,2810,32,1,1363.52,44.97,1563.66,-0.1279945768261643
rv queen sheets,"B08V8V7VZF, B08V93R9LN",2,15,38,23,1384,54,0,1349.4599999999998,,1214.01,0.11157239231966773
king flat sheets only,"B00NQDGAP2, B01ETTFKIE",2,38,37,-1,2157,98,0,1273.02,,1179.4099999999999,0.07937019357136207
flat sheets only,"B00O35CWQ8, B01ETTFKIE",2,79,20,-59,5129,109,0,1088.91,,978.18,0.11320002453536174
short queen sheets for rv,B08V8V7VZF,1,8,32,24,842,43,0,1030.71,,749.0699999999999,0.37598622291641653
white sheets full,B00O35DAL4,1,7,5,-2,970,70,3,980.0,107.91,1200.8,-0.18387741505662888
bedspread,B076PH3HVF,1,49,39,-10,9840,29,0,904.51,,831.74,0.08749128333373407
twin flat sheet,"B00NLLUMOE, B01ETTDYPK",2,36,35,-1,2978,103,0,879.6199999999999,,751.66,0.17023654311789896
queen flat sheet only,B01ETTDTSM,1,33,38,5,1576,84,0,839.16,,,
king flat sheet,"B00NQDGAP2, B01ETTFKIE",2,30,30,0,1651,55,0,714.45,,643.54,0.11018740093855874
white bed sheets,B00NLLUMOE,1,8,9,1,2315,48,0,672.0,,608.0,0.10526315789473684
flat sheet,"B00NQDGAP2, B01ETTFKIE",2,37,22,-15,4315,67,0,669.33,,629.37,0.06349206349206354
king size sheet sets,B00NQDGAP2,1,12,6,-6,820,20,0,599.8,,292.59999999999997,1.0498974709501026
california king bed sheets,"B00O35DPN2, B0822XQ9DZ",2,37,24,-13,1247,20,0,599.8,,839.7199999999999,-0.2857142857142857
gray queen sheet set,"B00NLLUP4G, B00SBZJ8NG, B0BTZ4CFWV",3,11,14,3,328,30,0,455.7,,,
grey queen sheet set,"B00SBZJ8NG, B0BTZ4CFWV",2,12,14,2,364,29,0,440.51,,367.77,0.19778666014084895
rv sheets,B08V8V7VZF,1,13,32,19,688,8,0,199.92,,179.48000000000002,0.1138845553822151
