keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow
king size sheets set,"B00NQDGAP2, B0BTZ24S9W",2,14,11,-3,65169,1776,26,50598.24,1065.22,50143.28,0.009073199838542654
queen sheets,"B00NLLUMOE, B0BTZ5HGMB",2,12,11,-1,79198,2652,63,45030.96,2329.11,49044.32,-0.08183129055515502
queen sheet set,B00NLLUMOE,1,12,11,-1,55554,1854,38,30016.260000000002,1404.86,31392.549999999996,-0.043841293555317865
twin xl sheets,B016P42ARU,1,27,36,9,64126,1831,6,25157.94,209.82,19469.84,0.29214929347133817
king sheets,B00NQDGAP2,1,9,9,0,29274,786,20,22393.14,819.4,24643.85,-0.0913294797687861
queen bed sheets,B00NLLUMOE,1,18,14,-4,32343,1085,17,21689.149999999998,679.49,24290.28,-0.10708522091964362
sheets queen size bed set,B00NLLUMOE,1,9,12,3,29100,752,18,18792.48,665.46,17393.039999999997,0.08045977011494268
full size sheets,B00O35DAL4,1,13,16,3,39927,1211,11,17147.76,395.66999999999996,15929.730000000001,0.07646268957477603
duvet cover,B079YXK5SN,1,43,55,12,103952,566,0,15276.339999999998,,14939.880000000001,0.02252093055633628
california king sheet sets,B00NQDGAP2,1,26,19,-7,18336,545,0,14709.55,,14218.92,0.03450543360536519
twin sheets set,B00O35CWQ8,1,11,22,11,27546,1116,4,14050.44,139.88,13689.45,0.026369941816508317
sheets,"B00NLLUMOE, B00NQDGAP2, B0BTZ5HGMB",3,8,11,3,58515,536,17,13394.64,628.49,13044.779999999999,0.026819923371647555
queen duvet cover,B079YXK5SN,1,36,44,8,26509,480,3,12955.199999999999,102.81,13098.96,-0.0109749170926547
twin sheets,B00O35CWQ8,1,30,26,-4,33627,1101,2,12881.699999999999,69.94,13900.0,-0.07325899280575547
bed sheets queen size,B00NLLUMOE,1,17,10,-7,22965,507,4,12669.929999999998,144.92,11970.21,0.05845511482254692
king duvet cover,B07GQ38TP8,1,51,55,4,26156,419,3,12565.81,108.69,11666.109999999999,0.07712082262210804
bed sheets,B00NLLUMOE,1,12,12,0,65467,532,7,12230.679999999998,258.78999999999996,12345.06,-0.00926524455936229
cooling sheets queen,"B00NLLUMOE, B0BTZ5HGMB",2,34,27,-7,20244,342,0,10256.58,,10796.4,-0.049999999999999975
pillow cases standard size,"B00RKHWJ1O, B0822YG3V8",2,52,45,-7,20029,1088,1,9781.12,17.97,13069.1,-0.2515842712964167
twin bed sheets,B00NLLUMOE,1,43,38,-5,28833,791,0,9476.18,,9913.050000000001,-0.044070190304699434
queen size sheets,B00NLLUMOE,1,24,17,-7,16210,552,1,9372.960000000001,36.23,9224.28,0.016118331186824368
king sheet set,"B00NQDGAP2, B0BTZ24S9W",2,9,8,-1,12883,390,11,9356.099999999999,450.66999999999996,9643.98,-0.029850746268656823
king bed sheets,B00NQDGAP2,1,11,9,-2,13413,292,3,8587.72,122.91,6844.799999999999,0.2546341748480599
king size sheets,B00NQDGAP2,1,13,8,-5,14327,331,2,7874.49,81.94,9796.08,-0.19615907587524808
deep pocket queen sheets,B0822X4TLW,1,47,31,-16,17907,312,0,7796.879999999999,,7871.849999999999,-0.009523809523809558
queen sheets deep pocket,B00NLLUMOE,1,35,17,-18,11083,301,6,7521.99,221.82,7172.129999999999,0.048780487804878134
full size bed sheets,"B00O35DAL4, B08NPW1N2Y",2,17,17,0,17970,506,1,7493.860000000001,35.25,8480.07,-0.11629738905457139
cooling sheets,B00NLLUMOE,1,28,30,2,39407,250,0,7122.5,,9743.58,-0.26900584795321636
sheets king size,B00NQDGAP2,1,7,6,-1,10926,225,5,6747.75,204.85,7077.639999999999,-0.04661016949152535
queen fitted sheet only,B01ES3L33W,1,89,90,1,11794,665,0,6643.35,,8053.8,-0.17512851076510463
twin fitted sheet,"B00O35CWQ8, B01ES3L50S",2,38,46,8,13889,712,0,6400.88,,5884.11,0.08782466677203528
king size bed sheets,B00NQDGAP2,1,14,13,-1,8877,213,2,6387.87,80.3,7047.65,-0.09361702127659571
xl twin sheets,B016P42ARU,1,57,52,-5,11610,457,0,6206.06,,4471.2,0.3880076936840223
deep pocket king sheet set,B0822X1VP7,1,42,39,-3,11169,225,0,5744.25,,5498.57,0.044680707893143184
queen sheets set,B00NLLUMOE,1,14,8,-6,7255,299,10,5686.98,369.7,5634.99,0.009226280791980072
cooling sheets king size,B00NQDGAP2,1,25,14,-11,13447,189,0,5668.11,,6807.73,-0.16740088105726872
king sheets deep pocket,B0822X1VP7,1,22,33,11,7712,184,0,5242.16,,5270.65,-0.005405405405405364
pillow case,B00RKHWJ1O,1,58,70,12,12602,527,0,5001.2300000000005,,,
king fitted sheet only,"B00NQDGAP2, B0822WGD4S",2,53,36,-17,7398,331,0,4961.6900000000005,,4669.08,0.06266973365202579
pillowcases,"B00RKHWJ1O, B0822YG3V8",2,39,44,5,15738,497,0,4960.06,,6006.99,-0.17428529096935394
fitted sheet queen,B01ES3L33W,1,57,26,-31,13260,446,0,4923.839999999999,,5637.66,-0.1266163621076831
sheets full size bed,B00O35DAL4,1,11,13,2,8395,224,3,4701.759999999999,107.91,3463.0199999999995,0.3577051244289666
full sheet set,B00O35DAL4,1,12,14,2,8991,313,4,4432.08,143.88,4014.81,0.10393268921816973
cooling pillow cases,B00RKHWJ1O,1,79,31,-48,13180,440,0,4391.2,,5935.54,-0.2601852569437659
california king sheets,B00NQDGAP2,1,22,20,-2,5627,155,0,4336.9,,3922.98,0.1055116263656709
pillow cases queen size set of 2,B01LZP8460,1,52,44,-8,7553,420,0,4191.6,,5143.71,-0.18510180395084475
