promo_label,orders,units,gross_item_sales,item_promo_discount,net_item_sales,shipping_promo_discount_excluded
LD,417,465,19902.049999999992,3057.2500000000005,16844.799999999992,337.43000000000023
4688cb01-4d13-4da0-969c-c0218abe470a,326,464,16759.38,1372.1700000000003,15387.210000000001,196.65999999999997
3a997123-e65a-40e1-98cb-5f5b52c597fc,264,322,12858.409999999996,1203.0299999999997,11655.379999999997,140.17
ab56f037-ed4c-4c10-a9f7-82f12ba813e6,88,123,4417.339999999999,374.95000000000005,4042.3899999999994,56.23000000000002
e9d15c97-2b53-460d-9664-a633fe123829,8,10,336.73,24.199999999999996,312.53000000000003,4.99
"4688cb01-4d13-4da0-969c-c0218abe470a,Duplicated A3JU1FCINF5SD0 1569460229772",2,2,77.94,5.9399999999999995,72.0,14.62
"Duplicated A3JU1FCINF5SD0 1569460229772,4688cb01-4d13-4da0-969c-c0218abe470a",1,1,39.97,1.86,38.11,7.42
