week_start,week_end,gross_sales,sessions,units,unit_conversion,br_gross_sales_control
2026-07-05,2026-07-11,408925.39000000036,139229,10876,0.07811590976017928,408491.17000000307
2026-07-12,2026-07-18,413438.4800000004,152478,11011,0.07221369640210391,413827.7499999951
