period,orders,units,gross_item_sales,item_promo_discount,net_item_sales,shipping_promo_discount_excluded
prior,8175,10901,408925.39000000036,6133.389999999999,402792.00000000035,5844.2999999999965
current,8362,11001,413438.4800000004,7850.5599999999995,405587.9200000004,5381.4
