promo_label,orders,units,gross_item_sales,item_promo_discount,net_item_sales,shipping_promo_discount_excluded
LD,647,723,29745.310000000005,4738.150000000001,25007.160000000003,507.87
4688cb01-4d13-4da0-969c-c0218abe470a,374,535,19417.98,1609.9200000000003,17808.059999999998,201.66
3a997123-e65a-40e1-98cb-5f5b52c597fc,282,352,13667.669999999998,1368.57,12299.1,143.00000000000003
ab56f037-ed4c-4c10-a9f7-82f12ba813e6,28,45,1598.0900000000004,107.22,1490.8700000000003,19.69
e9d15c97-2b53-460d-9664-a633fe123829,4,6,217.82,16.3,201.52,2.99
Duplicated A3JU1FCINF5SD0 1569460229772,1,1,45.97,6.9,39.07,16.65
"4688cb01-4d13-4da0-969c-c0218abe470a,3a997123-e65a-40e1-98cb-5f5b52c597fc",1,2,69.94,3.5,66.44,0.0
