keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow
twin bed sheets,B00O35CWQ8,1,36,43,7,30663,776,0,10545.84,,9476.18,0.11287881825799001
queen size sheets,B00NLLUMOE,1,25,24,-1,16612,573,3,9735.269999999999,108.69,9372.960000000001,0.038654811286935785
king size sheets,B00NQDGAP2,1,17,13,-4,14072,387,4,9671.13,163.88,7874.49,0.22815953795102914
king sheet set,"B00NQDGAP2, B0BTZ24S9W",2,11,9,-2,13141,408,8,9379.92,327.76,9356.099999999999,0.0025459326001220093
cooling sheets,B00NQDGAP2,1,41,28,-13,39985,321,0,9145.289999999999,,7122.5,0.28399999999999986
cooling sheets queen,"B00NLLUMOE, B0BTZ5HGMB",2,49,34,-15,19680,363,0,9071.369999999999,,10256.58,-0.11555606254716494
deep pocket queen sheets,B0822X4TLW,1,47,47,0,17842,348,0,8452.92,,7796.879999999999,0.08414134884723132
queen sheets deep pocket,B00NLLUMOE,1,24,35,11,10960,337,6,8000.379999999999,221.82,7521.99,0.06359886147149882
xl twin sheets,B016P42ARU,1,51,57,6,11201,381,0,7444.74,,6206.06,0.19959201167890728
king bed sheets,B00NQDGAP2,1,14,11,-3,13571,271,4,6907.79,163.88,8587.72,-0.19562002487272517
full size bed sheets,B00O35DAL4,1,34,17,-17,19637,450,2,6895.5,71.94,7493.860000000001,-0.07984670116602133
queen fitted sheet only,B01ES3L33W,1,90,89,-1,12532,660,0,6593.400000000001,,6643.35,-0.007518796992481175
cooling sheets king size,B00NQDGAP2,1,36,25,-11,12823,189,0,6235.110000000001,,5668.11,0.10003334444814956
sheets king size,B00NQDGAP2,1,16,7,-9,10682,206,9,6177.94,368.73,6747.75,-0.0844444444444445
queen sheets set,B00NLLUMOE,1,12,14,2,6862,288,6,6117.12,221.82,5686.98,0.07563592627369893
deep pocket king sheet set,B0822X1VP7,1,46,42,-4,11048,240,0,5997.599999999999,,5744.25,0.04410497453975706
twin fitted sheet,"B00O35CWQ8, B01ES3L50S",2,46,38,-8,12887,551,0,5504.49,,6400.88,-0.14004168176875684
fitted sheet queen,"B00NLLUMOE, B01ES3L33W",2,31,57,26,12785,415,0,5390.85,,4923.839999999999,0.09484670501072358
pillowcases,"B00RKHWJ1O, B0822YG3V8",2,46,39,-7,15437,530,0,5289.400000000001,,4960.06,0.06639839034205233
king fitted sheet only,"B00NQDGAP2, B0822WGD4S",2,53,53,0,7025,315,0,5036.849999999999,,4961.6900000000005,0.015148064469968688
king size bed sheets,B00NQDGAP2,1,18,14,-4,8530,195,1,4970.549999999999,40.97,6387.87,-0.2218767758266841
pillow case,B00RKHWJ1O,1,61,58,-3,13067,490,1,4890.2,17.97,5001.2300000000005,-0.02220053866748793
california king sheets,B00NQDGAP2,1,18,22,4,5415,183,1,4756.17,40.97,4336.9,0.0966750443865435
king sheets deep pocket,"B00NQDGAP2, B0822X1VP7",2,27,22,-5,8118,185,0,4715.65,,5242.16,-0.10043760587238852
queen size sheet set,B00NLLUMOE,1,23,15,-8,7056,226,3,4517.74,110.91,3746.6000000000004,0.20582394704532092
full sheet set,B00O35DAL4,1,11,12,1,9485,318,5,4502.88,179.85,4432.08,0.01597444089456873
bed sheets king size,B00NQDGAP2,1,14,15,1,8297,158,1,4501.42,40.97,4138.62,0.08766207093185656
sheets full size bed,B00O35DAL4,1,10,11,1,8730,209,3,4261.51,107.91,4701.759999999999,-0.09363514939086622
bed sheets full size,B00O35DAL4,1,15,16,1,10468,237,1,4239.93,35.97,3997.9999999999995,0.060512756378189286
pillow cases queen size set of 2,B00RKHWJ1O,1,51,52,1,7902,413,0,4125.87,,4191.6,-0.015681362725451013
queen fitted sheet,B00NLLUMOE,1,69,55,-14,7470,356,0,3556.44,,3546.4500000000003,0.0028169014084506424
twin sheet set,B00O35CWQ8,1,14,22,8,7435,263,1,3547.87,34.97,3090.84,0.14786595229775715
white pillow cases set of 2,B00RKHWJ1O,1,40,32,-8,4347,496,0,3467.04,,3693.52,-0.06131820052416124
full bed sheets,B00O35DAL4,1,27,14,-13,10112,228,2,3376.6800000000003,71.94,3540.0,-0.0461355932203389
white sheets queen set,B00NLLUMOE,1,4,4,0,2177,206,11,3335.1400000000003,406.66999999999996,2800.8700000000003,0.19075144508670516
full sheets,B00O35DAL4,1,12,11,-1,6655,205,4,2902.8,143.88,2945.28,-0.014423076923076929
sheet & pillowcase sets,B00NLLUMOE,1,14,7,-7,20494,105,1,2798.9499999999994,36.97,3298.68,-0.15149393090569577
cal king sheet set,B00NQDGAP2,1,17,20,3,4536,107,0,2780.93,,3238.9199999999996,-0.14140207229570345
white sheets,B00NLLUMOE,1,9,8,-1,5808,182,4,2728.18,147.88,2728.18,0.0
twin sheets set kids,B00O35CWQ8,1,65,51,-14,4539,128,0,2429.44,,,
white king sheets,"B00NQDGAP2, B0822X1VP7",2,4,4,0,1002,117,12,2315.43,491.64,2236.27,0.03539823008849551
white queen sheets,B00NLLUMOE,1,6,5,-1,1030,140,3,2266.6000000000004,110.91,2719.92,-0.16666666666666655
king size fitted sheets only,"B00NQDGAP2, B01ES3MMYG",2,41,38,-3,3644,136,0,2038.64,,2218.52,-0.08108108108108103
cal king sheets,B00NQDGAP2,1,18,75,57,2671,75,0,1949.2499999999998,,1949.35,-5.1299150999120954e-05
fitted sheet,B00NLLUMOE,1,31,72,41,10112,124,0,1858.76,,1649.73,0.12670558212555993
twin xl sheet sets,B016P42ARU,1,40,30,-10,4218,92,0,1797.6799999999998,,1711.8999999999999,0.05010806705999181
cooling bed sheets,B00NQDGAP2,1,34,27,-7,9734,65,0,1656.85,,1889.37,-0.12306747751896134
queen sheet set deep pocket,B00NLLUMOE,1,28,38,10,2636,77,0,1635.4799999999998,,1699.32,-0.0375679683638162
sheet set,B00NQDGAP2,1,15,10,-5,11485,85,2,1614.1499999999999,73.94,1820.6100000000001,-0.11340155222700098
split king sheets,"B01N10ETBD, B0822VN7VK, B08RZDBH97, B0BTZ68TRH",4,6,5,-1,2789,26,1,1559.74,44.97,1363.52,0.14390694672612064
extra deep pocket queen sheets,B0822X4TLW,1,15,18,3,3879,66,0,1496.8799999999999,,1769.04,-0.15384615384615388
white sheets full,B00O35DAL4,1,5,7,2,1055,81,4,1165.5900000000001,143.88,980.0,0.18937755102040832
flat sheets only,B01ETTFKIE,1,81,79,-2,4968,86,0,987.7099999999999,,1088.91,-0.09293697367091877
twin flat sheet,"B00NLLUMOE, B01ETTDYPK",2,40,36,-4,3046,97,0,969.03,,879.6199999999999,0.10164616538960015
california king bed sheets,B00O35DPN2,1,17,37,20,1231,29,1,869.7099999999999,44.97,599.8,0.44999999999999996
king flat sheet,"B00NQDGAP2, B01ETTFKIE",2,26,30,4,1954,62,1,805.38,19.97,714.45,0.1272727272727272
queen flat sheet only,B01ETTDTSM,1,27,33,6,1628,78,0,779.22,,839.16,-0.07142857142857136
white bed sheets,"B00NLLUMOE, B00O35DAL4",2,8,8,0,2306,54,1,777.0600000000001,36.97,672.0,0.1563392857142858
rv queen sheets,B08V8V7VZF,1,14,15,1,1186,27,0,687.4200000000001,,1349.4599999999998,-0.490596238495398
king split sheets for adjustable bed,"B07BKMKJKQ, B0BTZ68TRH",2,21,38,17,790,17,1,679.83,46.97,,
short queen sheets for rv,B08V8V7VZF,1,10,8,-2,787,26,0,666.12,,1030.71,-0.3537270425240854
flat sheet,"B00NQDGAP2, B01ETTFKIE",2,42,37,-5,4125,54,0,539.46,,669.33,-0.19402985074626866
grey queen sheet set,"B00SBZJ8NG, B0BTZ4CFWV",2,11,12,1,351,17,0,361.08,,440.51,-0.18031372727066358
king size sheet sets,B00NQDGAP2,1,10,12,2,890,8,0,239.92,,599.8,-0.6000000000000001
grey queen sheets,B00NLLUP4G,1,11,23,12,240,16,1,216.0,39.97,,
rv sheets,"B08V8V7VZF, B08V93R9LN",2,13,13,0,639,6,0,153.12,,199.92,-0.23409363745498193
