keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow
queen sheets,"B00NLLUMOE, B0BTZ5HGMB",2,13,12,-1,74470,2592,66,49740.48,2440.02,45030.96,0.10458404617623085
king size sheets set,B00NQDGAP2,1,15,14,-1,65429,1793,30,45703.57,1229.1,50598.24,-0.09673597342516259
queen sheet set,B00NLLUMOE,1,11,12,1,56097,2065,42,34051.85,1552.74,30016.260000000002,0.13444679650296193
twin xl sheets,B016P42ARU,1,39,27,-12,67724,1746,3,27901.08,104.91,25157.94,0.10903674943178986
queen bed sheets,B00NLLUMOE,1,21,18,-3,33175,1121,9,22408.789999999997,332.73,21689.149999999998,0.03317972350230412
king sheets,B00NQDGAP2,1,12,9,-3,28903,863,41,21997.87,1679.77,22393.14,-0.017651387880395535
full size sheets,B00O35DAL4,1,20,13,-7,39577,1193,12,16892.88,431.64,17147.76,-0.014863748967795059
twin sheets,B00O35CWQ8,1,36,30,-6,34013,1187,4,15407.26,139.88,12881.699999999999,0.19605797371464959
twin sheets set,B00O35CWQ8,1,13,11,-2,26991,1064,2,14885.36,69.94,14050.44,0.05942305009665178
sheets queen size bed set,B00NLLUMOE,1,10,9,-1,28276,669,32,14209.56,1183.04,18792.48,-0.24386988838088428
queen duvet cover,B079YXK5SN,1,43,36,-7,27424,509,0,12969.32,,12955.199999999999,0.0010899098431518465
california king sheet sets,B0822XQ9DZ,1,24,26,2,17959,496,1,12891.039999999999,40.97,14709.55,-0.12362784721490462
pillow cases standard size,"B00RKHWJ1O, B0822YG3V8",2,59,52,-7,19613,1068,0,12162.74,,9781.12,0.24349154289079356
bed sheets queen size,B00NLLUMOE,1,17,17,0,22926,550,7,11682.0,258.78999999999996,12669.929999999998,-0.07797438502028019
sheets,"B00NQDGAP2, B00O35CWQ8, B00O35DAL4, B0BTZ5HGMB",4,11,8,-3,58970,481,25,11399.699999999999,924.25,13394.64,-0.1489356936804573
bed sheets,"B00NLLUMOE, B00NQDGAP2",2,16,12,-4,64171,517,5,10981.08,184.85,12230.679999999998,-0.10216929884519901
