asin,collection,size,color,sales,prior_sales,sessions,prior_sessions,units,prior_units,conversion,prior_conversion,conversion_change_pp
B00WAIH2TM,1800 Bed Sheets,Queen,Lavender,1159.1299999999999,1518.86,945,790,31,38,0.0328042328042328,0.04810126582278481,-0.015297033018552009
B0822WVF4H,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Gray,1149.31,1049.37,306,286,23,21,0.07516339869281045,0.07342657342657342,0.0017368252662370298
B0BTZ24S9W,1800 Bed Sheet Set 6 PIECE,King,White,1147.31,2160.2599999999998,305,295,23,45,0.07540983606557378,0.15254237288135594,-0.07713253681578217
B0BMWCNGW8,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Golden Ivory,1098.34,1198.28,332,340,22,24,0.06626506024096386,0.07058823529411765,-0.0043231750531537855
B0CNRXJ7ZB,1800 Bed Sheets,King,Sky Blue,1074.25,1503.95,509,548,25,35,0.04911591355599214,0.06386861313868614,-0.014752699582693998
B00NQDGHDC,1800 Bed Sheets,King,Aqua,1074.25,988.31,487,500,25,24,0.0513347022587269,0.048,0.003334702258726896
B0112XNCS0,1800 Bed Sheets,King,Tan,1072.53,1717.0800000000002,369,422,25,40,0.06775067750677506,0.0947867298578199,-0.027036052351044837
B0CNS16FHR,1800 Bed Sheets,Full,Sky Blue,1063.16,949.2500000000001,325,266,28,26,0.08615384615384615,0.09774436090225563,-0.011590514748409483
B08RZCP48J,1800 Bed Sheets,Full,Golden Ivory,1063.1599999999999,1366.16,433,433,28,36,0.06466512702078522,0.08314087759815242,-0.018475750577367195
B0CNRZDPG2,1800 Bed Sheets,Queen,Hazy Lilac,1038.42,1597.1999999999998,782,721,26,40,0.03324808184143223,0.05547850208044383,-0.022230420239011603
B0822YG3V8,1800 Pillowcase Set 4 pc,Standard,White,1016.28,776.96,122,110,38,29,0.3114754098360656,0.2636363636363636,0.04783904619970197
B07R8X7VXT,1800 Bed Sheets,Full,Pinstripe Gray,987.2200000000001,645.49,628,581,26,17,0.041401273885350316,0.029259896729776247,0.01214137715557407
B0CYCRHZR1,1800 Bed Sheet Set 6 PC With DEEP Fitted Sheet,King,White,951.49,839.55,122,102,17,15,0.13934426229508196,0.14705882352941177,-0.007714561234329814
B0822X1KV9,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Beige,949.4300000000001,1048.37,265,273,19,21,0.07169811320754717,0.07692307692307693,-0.00522496371552976
B0BMW72PRP,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Sage,949.43,1149.31,262,243,19,23,0.07251908396946564,0.09465020576131687,-0.022131121791851227
B00O35DBNG,1800 Bed Sheets,Full,Beige,948.4900000000001,607.5199999999999,158,151,25,16,0.15822784810126583,0.10596026490066225,0.05226758320060358
B08RZDZZHJ,1800 Bed Sheets,Twin,Golden Ivory,944.1899999999999,698.0,251,231,28,20,0.11155378486055777,0.08658008658008658,0.02497369828047119
B0822WXPVG,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Spa Blue,935.4599999999999,467.72999999999996,285,302,18,9,0.06315789473684211,0.029801324503311258,0.03335657023353085
B0CNRZ4Y1C,1800 Bed Sheets,Queen,Blue Nova,919.31,1838.62,557,569,23,46,0.04129263913824058,0.08084358523725835,-0.03955094609901777
B08RZD3PN6,1800 Bed Sheets,Full,Sage,911.28,1024.43,281,275,24,27,0.08540925266903915,0.09818181818181818,-0.012772565512779027
B0BMW8JKMX,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Pinstripe Gray,899.46,647.6100000000001,236,255,19,13,0.08050847457627118,0.050980392156862744,0.029528082419408436
B08CZZZVYR,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Paisley Gray,883.49,1663.04,333,361,17,32,0.05105105105105105,0.0886426592797784,-0.03759160822872734
B00NLNDRUI,1800 Bed Sheets,Queen,Brown,879.3399999999999,959.2800000000001,390,300,22,24,0.05641025641025641,0.08,-0.02358974358974359
B01DN0A9IQ,1800 Bed Sheets,Full,Blue Hydrangea,872.5500000000001,1177.0700000000002,330,318,23,31,0.0696969696969697,0.09748427672955975,-0.027787307032590053
B01CYLCRO4,1800 Bed Sheets,King,Paisley Gray,859.4,816.4299999999998,432,492,20,19,0.046296296296296294,0.03861788617886179,0.007678410117434503
B0BMWBX14R,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Blush Pink,849.49,1049.3700000000001,274,255,17,21,0.06204379562043796,0.08235294117647059,-0.02030914555603263
B0822YMKR5,1800 Bedskirt,King,White,803.9499999999999,666.13,603,494,35,29,0.05804311774461028,0.058704453441295545,-0.000661335696685264
B079YXK5SN,1800 Duvet Cover Set,Queen,White,800.81,660.93,169,167,23,19,0.13609467455621302,0.11377245508982035,0.022322219466392665
B00NLNDSZW,1800 Bed Sheets,Queen,Purple,799.4,919.31,314,311,20,23,0.06369426751592357,0.07395498392282958,-0.010260716406906012
B0BMW6YBL4,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Pinstripe Gray,779.5500000000002,883.4900000000001,259,285,15,17,0.05791505791505792,0.05964912280701754,-0.0017340648919596247
B0CNRZQ14K,1800 Bed Sheets,King,Hazy Lilac,773.46,1239.33,400,402,18,29,0.045,0.07213930348258707,-0.02713930348258707
B07R5VPFDK,1800 Bed Sheets,King,Laced Sky Blue,773.4599999999999,1200.5800000000002,327,354,18,28,0.05504587155963303,0.07909604519774012,-0.02405017363810709
B08RZBT9K8,1800 Bed Sheets,King,Teal,763.26,770.06,330,384,18,18,0.05454545454545454,0.046875,0.007670454545454543
B0CNRWYNDF,1800 Bed Sheets,Queen,Terracotta,759.4300000000001,479.64,444,343,19,12,0.04279279279279279,0.03498542274052478,0.00780737005226801
B00ZSGVRE4,1800 Bed Sheets,King,Striped Gray/Silver,730.49,428.8399999999999,217,220,17,10,0.07834101382488479,0.045454545454545456,0.03288646837033933
B01DN0ASH8,1800 Bed Sheets,King,Emerald Green,730.49,1117.22,414,432,17,26,0.04106280193236715,0.06018518518518518,-0.01912238325281803
B08C1C46DQ,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Aqua,727.58,727.58,242,216,14,15,0.05785123966942149,0.06944444444444445,-0.011593204775022958
B0CNRXLLCS,1800 Bed Sheets,Full,Blue Nova,721.4300000000001,417.66999999999996,173,131,19,11,0.10982658959537572,0.08396946564885496,0.02585712394652076
B01DN0APS0,1800 Bed Sheets,Queen,Yellow,719.4599999999999,479.64,686,656,18,12,0.026239067055393587,0.018292682926829267,0.00794638412856432
B0CLY98MH3,1800 Bed Sheets,Queen,Burgundy,718.6600000000001,319.76,175,138,18,8,0.10285714285714286,0.057971014492753624,0.04488612836438923
B08BZWJ6QK,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Tan,699.58,749.5500000000002,163,166,14,15,0.08588957055214724,0.09036144578313253,-0.004471875230985287
B08BZYCY47,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Aqua,699.5799999999999,899.4599999999999,223,224,14,18,0.06278026905829596,0.08035714285714286,-0.017576873798846898
B0CNRXVPC8,1800 Bed Sheets,King,Blue Nova,686.6599999999999,773.46,272,318,16,18,0.058823529411764705,0.05660377358490566,0.0022197558268590434
B01DN0AEXQ,1800 Bed Sheets,Full,Spa Mint,683.4599999999999,568.79,345,337,18,15,0.05217391304347826,0.04451038575667656,0.007663527286801697
B01DN0AKSK,1800 Bed Sheets,Queen,Coral,678.69,1079.1899999999998,412,418,17,27,0.0412621359223301,0.0645933014354067,-0.023331165513076603
B0DGQPSBKY,1800 Bed Sheets,Queen,Charcoal,675.49,359.73,116,105,17,9,0.14655172413793102,0.08571428571428572,0.06083743842364531
B00O35DPN2,1800 Bed Sheets,California King,Gray,674.55,403.83000000000004,112,127,15,9,0.13392857142857142,0.07086614173228346,0.06306242969628796
B016P42E9E,1800 Bed Sheets,Twin XL,Gray,663.73,909.2199999999999,249,194,19,26,0.07630522088353414,0.13402061855670103,-0.057715397673166885
B08CZXP1GF,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Spa Mint,646.61,1048.3700000000001,303,346,13,21,0.0429042904290429,0.06069364161849711,-0.017789351189454204
B00WAIH49U,1800 Bed Sheets,King,Black,644.5500000000001,429.70000000000005,120,147,15,10,0.125,0.06802721088435375,0.05697278911564625
B00WAIH5ZI,1800 Bed Sheets,King,Lavender,644.55,644.55,350,402,16,15,0.045714285714285714,0.03731343283582089,0.008400852878464822
B0822XZ52Q,1800 Bed Sheet Set With DEEP Fitted Sheet,Twin XL,Light Gray,629.58,944.37,120,152,14,21,0.11666666666666667,0.13815789473684212,-0.02149122807017545
B08RZDW2H2,1800 Bed Sheets,Twin,Blush Pink,629.46,698.0,260,248,18,20,0.06923076923076923,0.08064516129032258,-0.011414392059553344
B0CLYD6CZX,1800 Bed Sheets,California King,Ivory,627.78,404.73,196,179,14,9,0.07142857142857142,0.05027932960893855,0.021149241819632875
B01NCLP7SY,Cotton Flannel Sheet Set 160GSM,Queen,Sage,623.6400000000001,311.82000000000005,61,83,13,6,0.21311475409836064,0.07228915662650602,0.14082559747185464
B08RZCP48K,1800 Bed Sheets,Twin,Sage,622.46,384.66999999999996,110,115,18,11,0.16363636363636364,0.09565217391304348,0.06798418972332015
B0DGQQ6JJ1,1800 Bed Sheets,Queen,Oxford Stripe Sage,599.55,639.52,373,319,16,16,0.04289544235924933,0.050156739811912224,-0.007261297452662893
B0822XTD1X,1800 Bed Sheet Set With DEEP Fitted Sheet,Full,Light Gray,597.6099999999999,459.69999999999993,93,86,13,10,0.13978494623655913,0.11627906976744186,0.023505876469117268
B01DN0A328,1800 Bed Sheets,Twin XL,Blue Hydrangea,593.79,874.25,230,186,17,25,0.07391304347826087,0.13440860215053763,-0.06049555867227675
B01ES3MMYG,1800 Fitted Sheet,King,White,593.19,703.0399999999998,93,109,28,32,0.3010752688172043,0.29357798165137616,0.007497287165828148
B01DN09YTG,1800 Bed Sheets,Twin,Blue Hydrangea,559.52,872.1500000000001,137,121,16,25,0.11678832116788321,0.2066115702479339,-0.08982324908005068
