asin,collection,size,color,sales,prior_sales,sessions,prior_sessions,units,prior_units,conversion,prior_conversion,conversion_change_pp,sales_delta,sales_wow
B00NLLUMOE,1800 Bed Sheets,Queen,White,47890.86,50143.81,21410,21487,1304,1365,0.06090611863615133,0.06352678363661748,-0.002620665000466156,-2252.949999999997,-0.04492977298693492
B00NQDGAP2,1800 Bed Sheets,King,White,31350.190000000002,34505.700000000004,7685,16972,773,851,0.10058555627846454,0.05014140938015555,0.050444146898308985,-3155.510000000002,-0.09144894901422089
B00O35DAL4,1800 Bed Sheets,Full,White,16472.67,17484.36,3023,3156,475,500,0.157128680119087,0.15842839036755388,-0.0012997102484668677,-1011.6900000000023,-0.05786256974804924
B0822X1VP7,1800 Bed Sheet Set With DEEP Fitted Sheet,King,White,11456.009999999998,9982.98,2195,2379,226,196,0.1029612756264237,0.08238755779739386,0.020573717829029836,1473.0299999999988,0.14755413714141458
B016P42ARU,1800 Bed Sheets,Twin XL,White,9777.199999999999,9077.8,1527,1647,299,274,0.19580877537655533,0.16636308439587127,0.02944569098068406,699.3999999999996,0.07704509903280528
B0822X4TLW,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,White,9157.27,7089.65,2098,2456,198,151,0.09437559580552908,0.061482084690553745,0.032893511114975335,2067.620000000001,0.2916392205539062
B00O35CWQ8,1800 Bed Sheets,Twin,White,7258.36,9646.82,738,1487,209,276,0.28319783197831977,0.18560860793544048,0.09758922404287929,-2388.46,-0.24759039766472268
B00SBZJ8NG,1800 Bed Sheets,Queen,Light Gray,6428.7699999999995,6111.41,2038,2184,161,154,0.07899901864573111,0.07051282051282051,0.0084861981329106,317.3599999999997,0.051929096558731895
B0CLYC7B2G,1800 Bed Sheets,Queen,Ivory,4953.880000000001,4794.8,2124,2435,124,121,0.0583804143126177,0.04969199178644764,0.00868842252617006,159.08000000000084,0.03317760907649971
B08RZDBZZJ,1800 Bed Sheets,Queen,Golden Ivory,4953.08,4196.85,1951,2059,124,105,0.06355715017939519,0.05099562894609033,0.012561521233304854,756.2299999999996,0.18018990433301155
B0CLYDPTWV,1800 Bed Sheets,King,Ivory,3953.2699999999995,3650.7300000000005,1502,1899,93,85,0.061917443408788284,0.04476040021063718,0.017157043198151103,302.53999999999905,0.08287109701347375
