period,orders,units,gross_item_sales,item_promo_discount,net_item_sales,shipping_promo_discount_excluded
current,8590,10809,407302.86999999953,4851.3499999999985,402451.51999999955,5234.410000000003
prior,8700,11193,423681.1899999995,10786.669999999998,412894.5199999995,5731.640000000002
