keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow,total_clicks,brand_clicks,brand_ctr,brand_purchase_per_click
short queen sheets for rv,B08V8V7VZF,1,17,12,-5,702,16,0,383.84,,611.76,-0.3725644043415719,368,3,0.00015015015015015014,0.0
bed sheet set queen size,,0,,,,652,18,1,382.32,36.97,,,246,4,0.00021659085986571366,0.25
sábanas king size,,0,,,,1062,20,0,379.79999999999995,,322.83,0.17647058823529405,426,6,0.0002216557685913776,0.0
beige sheets,,0,,,,1912,20,1,379.6,39.17,,,870,2,4.028927700892407e-05,0.5
cooling fitted sheet queen,,0,,,,1258,26,0,376.74,,,,665,7,0.00022185598377281947,0.0
king bedskirt,,0,,,,1106,25,0,374.75,,434.71,-0.1379310344827586,559,5,0.00019799627766997982,0.0
white king pillow cases set of 4,,0,,,,98,28,1,374.35999999999996,27.0,,,75,1,0.00043725404459991256,1.0
pink striped sheets,,0,,,,3048,12,0,371.88,,598.5,-0.3786466165413534,1540,5,6.420380856992436e-05,0.0
twin xl pink sheets,,0,,,,696,20,0,370.4,,,,333,1,4.940955580809328e-05,0.0
full size bed sheet set,,0,,,,639,15,0,369.6,,339.83,0.0876026248418328,227,0,0.0,
cotton full size sheet sets,,0,,,,1439,12,0,367.08,,496.91,-0.2612746775069933,729,0,0.0,
white full sheet set,,0,,,,265,26,0,364.0,,448.0,-0.1875,120,0,0.0,
floral sheets,,0,,,,6433,14,0,363.85999999999996,,527.78,-0.31058395543597717,3193,5,2.8562941297443046e-05,0.0
queen sheet set cooling sheets,,0,,,,567,17,1,361.08,36.97,318.59999999999997,0.13333333333333341,293,1,6.700616456714018e-05,1.0
hotel sheets king,,0,,,,664,12,0,359.88,,203.92,0.7648097293056101,305,2,0.00011425959780621572,0.0
fitted sheet full size,,0,,,,698,30,0,359.7,,,,331,1,5.346164127238706e-05,0.0
yellow sheets,,0,,,,1994,16,0,355.52,,483.78,-0.26512050932241926,872,10,0.00017779674276367257,0.0
sheets twin xl size bed set,,0,,,,763,18,0,351.71999999999997,,293.09999999999997,0.20000000000000004,292,0,0.0,
sheet set full size,,0,,,,388,10,1,350.90000000000003,35.97,81.56,3.302354095144679,164,1,8.156606851549755e-05,1.0
twin sheets white,,0,,,,199,25,2,349.75,68.54,303.68,0.15170574288724972,69,5,0.0007417297136923305,0.4
mellanni twin xl sheet set,,0,,,,233,10,9,349.7,314.73,174.85,1.0,105,91,0.009749303621169917,0.0989010989010989
oversized queen duvet cover,,0,,,,1378,5,0,339.95,,475.92999999999995,-0.28571428571428564,831,4,0.00010770059235325795,0.0
queen size white sheets,,0,,,,153,16,0,339.84,,,,73,2,0.0004704775346977182,0.0
sage green full size sheets,,0,,,,225,17,1,339.83,37.97,,,124,1,0.00016268098259313488,1.0
sábanas blancas queen,,0,,,,322,20,2,339.6,73.94,299.8,0.13275517011340898,156,3,0.00038870173620108835,0.6666666666666666
pillow shams king size set of 2,,0,,,,1895,26,0,337.74,,464.69,-0.27319288127568914,1031,18,0.0003495281370150297,0.0
kingsize sheets set,,0,,,,453,16,0,335.84,,,,197,1,7.098743522396536e-05,0.0
burgundy sheets,,0,,,,1298,16,0,335.84,,307.85999999999996,0.09088546742025604,508,4,0.00012236532166783932,0.0
sateen sheets,,0,,,,1200,5,0,335.7,,,,481,2,5.4739031666529817e-05,0.0
best sheets queen,,0,,,,401,7,0,333.13,,159.92,1.0831040520260131,150,0,0.0,
light blue full size sheets,,0,,,,267,17,0,322.83,,,,132,2,0.0002726281352235551,0.0
pink bed sheets queen,,0,,,,520,19,0,322.80999999999995,,,,193,1,6.896076132680504e-05,0.0
full white sheets,,0,,,,181,23,1,322.0,35.97,294.0,0.09523809523809523,89,3,0.0006787330316742081,0.3333333333333333
bedsheet,,0,,,,3311,16,0,319.84,,366.29999999999995,-0.1268359268359268,955,9,9.42151874882231e-05,0.0
queen size sheets sets clearance,,0,,,,544,20,0,319.8,,,,267,2,0.00010985389432055367,0.0
bed pillow covers,,0,,,,617,32,0,319.68,,,,230,1,5.492996429552321e-05,0.0
100% cotton sheets king size,,0,,,,630,7,0,314.93,,,,349,1,5.4244643341470026e-05,0.0
flannel sheets twin xl,,0,,,,596,12,0,310.32,,209.94,0.47813661046013145,341,4,0.0002053493505826788,0.0
organic twin xl sheets,,0,,,,211,6,1,307.74,34.97,,,126,1,0.00015239256324291374,1.0
double sheet set,,0,,,,504,19,1,306.66,35.25,134.54999999999998,1.2791527313266449,239,9,0.0006448377158415132,0.1111111111111111
full white sheet set,,0,,,,88,20,3,306.46666666666664,107.91,316.58000000000004,-0.03194558510750332,50,4,0.0018682858477347033,0.75
king sized sheets,,0,,,,604,12,1,305.88,40.97,349.85999999999996,-0.12570742582747374,177,3,0.0001292824822236587,0.3333333333333333
sheets king size bed set,,0,,,,395,12,0,305.88,,254.95000000000002,0.19976465973720328,166,1,9.094216078574027e-05,0.0
sábanas para cama queen,,0,,,,943,18,0,305.64,,,,331,7,0.0003176764238711141,0.0
mellanni pillow cases,,0,,,,362,17,17,305.49,305.49,341.42999999999995,-0.10526315789473668,205,196,0.020258397932816537,0.08673469387755102
queen sheets pink,,0,,,,409,19,0,305.33,,,,168,2,0.00018422991893883567,0.0
soft sheets queen,,0,,,,895,12,0,304.44,,297.35999999999996,0.02380952380952395,414,5,0.00021307423506349612,0.0
king white bed skirt,,0,,,,147,20,0,299.8,,119.92,1.5,82,1,0.0003183699458771092,0.0
sheet set king size,,0,,,,1235,13,0,298.74,,189.89999999999998,0.5731437598736179,450,1,2.8624588521540003e-05,0.0
bed skirts king size,,0,,,,742,13,1,298.61,22.97,191.88,0.5562330623306234,365,3,0.00013534852244529664,0.3333333333333333
sábanas twin,,0,,,,1270,25,0,296.25,,,,497,1,3.310819758972322e-05,0.0
luxury sheets,,0,,,,726,5,0,292.4,,239.94,0.21863799283154114,256,5,0.00022268739143989667,0.0
king mattress sheets,,0,,,,385,12,1,291.48,40.97,209.89999999999998,0.3886612672701289,145,1,8.984725965858041e-05,1.0
sage green sheets king,,0,,,,315,9,0,290.52,,,,170,4,0.0005206299622543278,0.0
standard pillow shams,,0,,,,1393,17,0,288.83,,,,777,6,0.000148529557381919,0.0
white bedding twin xl,,0,,,,743,8,1,287.92,34.97,107.97,1.6666666666666667,371,5,0.00025053865811494716,0.2
bedding sets,,0,,,,3266,9,0,287.90999999999997,,279.92,0.028543869677050415,1126,0,0.0,
bedsheets king size bed,,0,,,,1801,16,0,287.84,,484.30999999999995,-0.4056699221572959,624,7,0.0001454001620173234,0.0
sheets full,,0,,,,1129,19,0,284.05,,395.78,-0.2823032998130274,433,3,9.606763161265531e-05,0.0
bedsheets full size bed,,0,,,,1918,19,0,283.67,,335.79,-0.15521605765508206,653,5,0.00010279816608071712,0.0
king sheet set cooling,,0,,,,492,11,0,280.39,,,,261,2,0.00015028554253080853,0.0
king size sheet sets,B00NQDGAP2,1,14,15,1,881,11,1,280.39,40.97,404.39000000000004,-0.30663468433937546,325,5,0.00018633771848097493,0.2
microfiber sheets king,,0,,,,419,12,0,278.28000000000003,,78.27,2.5553852050594106,228,4,0.0003184459836000318,0.0
king shams,,0,,,,608,12,0,275.88,,91.96,2.0000000000000004,323,4,0.00023644854288585446,0.0
king bed skirt 15 inch drop,,0,,,,269,12,1,275.64,22.97,,,234,6,0.0007216742843396681,0.16666666666666666
red sheets,,0,,,,1077,14,0,273.84,,273.84,0.0,381,4,0.0001465899512588412,0.0
juego de sábanas full,,0,,,,1401,16,0,273.44,,263.78000000000003,0.03662142694669788,576,6,0.0001859427296392711,0.0
tan sheets queen,,0,,,,335,16,0,272.64,,289.68,-0.058823529411764774,151,4,0.0004066280370031514,0.0
queen bed skirt 15 inch drop,,0,,,,371,13,1,272.61,20.97,219.89999999999998,0.23969986357435216,186,4,0.0003412678099138299,0.25
purple sheets full,,0,,,,327,15,0,269.84999999999997,,,,141,2,0.00022466861379465288,0.0
ivory queen sheets,,0,,,,124,14,0,268.66,,,,75,2,0.0006195786864931846,0.0
blue striped sheets,,0,,,,1570,9,0,268.02,,308.33000000000004,-0.13073654850322725,799,4,9.731886526203104e-05,0.0
pillows cases queen size set of 2,,0,,,,706,28,0,265.72,,,,329,1,4.8756704046806435e-05,0.0
sage green striped sheets,,0,,,,344,5,0,264.05,,42.97,5.144984873167327,225,8,0.0009273212008809551,0.0
jersey knit sheets,,0,,,,1493,8,0,263.92,,219.92,0.20007275372862873,814,2,5.146283097033168e-05,0.0
dark green sheets,,0,,,,1129,11,0,263.89,,359.88,-0.2667277981549406,536,7,0.00023707115521387205,0.0
sabanas full 100 algodon,,0,,,,1763,14,0,258.85999999999996,,,,765,6,0.00014144271570014144,0.0
best sheets,,0,,,,717,6,0,254.10000000000002,,63.72,2.9877589453860645,246,10,0.0004655710228595372,0.0
full size mattress sheet set,,0,,,,243,11,1,252.34,35.97,,,110,5,0.0006924248719013987,0.2
full size white sheet set,,0,,,,96,18,2,252.0,70.5,196.79000000000002,0.280552873621627,49,2,0.0007527286413248024,1.0
full size bed sheet,,0,,,,1066,21,0,251.79,,441.44,-0.429616708952519,401,3,9.720377150633444e-05,0.0
full mattress sheets,,0,,,,553,15,0,245.55,,333.0,-0.2626126126126126,224,5,0.00032763252735731603,0.0
sheets cal king,,0,,,,94,6,1,242.21999999999997,40.97,,,33,1,0.000321853878339234,1.0
6 piece king size sheets set,,0,,,,614,8,0,239.92,,95.96,1.5002084201750727,335,2,0.00012062726176115802,0.0
bed sheets queen size set,,0,,,,311,8,0,239.92,,229.41,0.04581317292184295,120,3,0.00033662477558348296,0.0
light blue king sheets,,0,,,,195,10,1,239.89999999999998,42.97,,,90,1,0.00020230629172567267,1.0
california king bed skirt,,0,,,,1091,16,1,239.2,22.97,528.31,-0.5472355245973008,580,10,0.00033331111259249385,0.1
sheet set full,,0,,,,740,16,1,238.88,35.97,194.35,0.2291227167481348,272,5,0.0002027246188777165,0.2
white sheet set queen,,0,,,,230,14,0,238.83999999999997,,532.58,-0.5515415524428255,97,3,0.00038804811796662784,0.0
white sheets full size,,0,,,,200,17,2,238.0,70.5,287.8,-0.1730368311327311,99,3,0.0005307855626326964,0.6666666666666666
navy king sheets,,0,,,,107,8,1,237.92,42.97,,,53,1,0.0003897116134060795,1.0
1200 thread count egyptian cotton sheets,,0,,,,348,3,0,236.96999999999997,,,,137,1,9.880446596186147e-05,0.0
beige sheets king,,0,,,,248,14,0,236.59999999999997,,,,102,1,0.0001543924656476764,0.0
love shack fancy sheets,,0,,,,288,4,0,236.0,,,,176,2,0.0002662052442433116,0.0
queen sheet sets with deep pockets,,0,,,,252,5,2,234.85,93.94,,,128,6,0.0007015082427218519,0.3333333333333333
twin xl sheets white,,0,,,,203,16,1,234.24,34.97,377.66,-0.3797595721018906,93,2,0.0003061849357011635,0.5
sheets set,,0,,,,1590,13,0,233.86999999999998,,143.91,0.6251129177958445,498,3,6.555371034000524e-05,0.0
twin bedsheets,,0,,,,1114,20,0,233.2,,287.4,-0.18858733472512176,413,3,9.507812252400723e-05,0.0
red land cotton,,0,,,,1579,2,0,232.0,,,,458,1,2.1376199739210364e-05,0.0
burgundy sheets full,,0,,,,184,8,1,231.92,37.97,,,80,1,0.00022920009168003668,1.0
striped bed sheets,,0,,,,2641,8,0,231.92,,169.56,0.36777541873083264,1284,8,0.00011352670715785889,0.0
sheets & pillowcases,,0,,,,3992,12,2,227.88,71.94,532.76,-0.5722651850739545,675,11,0.00010183582213910773,0.18181818181818182
extra deep king sheets,,0,,,,479,12,0,227.88,,290.61,-0.2158563022607619,282,8,0.0005967922417008579,0.0
queen sheets pattern,,0,,,,671,9,0,224.91,,110.94,1.0273120605732828,306,3,0.00015789473684210527,0.0
blue and white striped sheets,,0,,,,735,8,0,224.24,,,,384,4,0.00018299098769385607,0.0
bed linen,,0,,,,421,5,0,223.70000000000002,,,,98,2,0.00011969597223053444,0.0
mellanni sheets,,0,,,,781,6,6,221.82,221.82,493.61,-0.5506168837746399,366,345,0.016136576239476147,0.017391304347826087
full sheet sets,,0,,,,718,13,1,220.86999999999998,35.97,164.45,0.34308300395256913,327,2,9.049773755656108e-05,0.5
black sheets twin xl,,0,,,,547,15,0,220.8,,,,278,1,6.790249202145719e-05,0.0
split king sheet set,,0,,,,690,6,0,219.24,,305.91,-0.2833186231244484,315,4,0.0001860378587042463,0.0
twin xl dorm bed skirt,,0,,,,410,11,0,217.69,,,,217,2,0.0001665833749791771,0.0
ivory sheets,,0,,,,787,9,0,217.62,,,,383,1,4.536793394428818e-05,0.0
luxury hotel sheets,,0,,,,138,3,0,215.96999999999997,,109.99,0.963542140194563,73,6,0.0017788319003854136,0.0
queen bedsheet set,,0,,,,143,6,1,215.94,36.97,,,61,3,0.0006353240152477764,0.3333333333333333
queen white sheets set,,0,,,,65,10,1,212.39999999999998,36.97,,,37,2,0.0010706638115631692,0.5
white bed sheets full,,0,,,,502,15,0,210.0,,210.0,0.0,148,1,5.707111060381235e-05,0.0
cotton bedsheets king size bed,,0,,,,475,3,0,209.96999999999997,,,,213,7,0.0005808646585345615,0.0
striped sheets twin xl,,0,,,,610,7,0,209.92999999999998,,89.97,1.333333333333333,347,6,0.0003231539828728389,0.0
double bed sheets sets,,0,,,,604,13,1,209.82,37.97,176.27499999999998,0.19029924833356981,211,3,0.0001371240515586434,0.3333333333333333
full bed sheet set,,0,,,,714,14,0,208.32000000000002,,409.37,-0.49112050223514175,192,1,3.8959015116097865e-05,0.0
dark brown sheets,,0,,,,906,10,0,204.89999999999998,,254.8,-0.1958398744113031,437,5,0.0002104288540044611,0.0
white bed sheets king,,0,,,,198,12,0,204.0,,280.39,-0.27244195584721276,71,9,0.0018374846876276032,0.0
white king bed sheets,,0,,,,143,12,1,204.0,40.97,356.85999999999996,-0.42834725102281,76,1,0.0002822466836014677,1.0
bed sheets california king,,0,,,,485,8,0,203.92,,,,185,0,0.0,
king bedsheets,,0,,,,780,8,0,203.92,,535.29,-0.6190476190476191,308,3,0.00015164535206995905,0.0
sheets for queen size bed,,0,,,,851,12,0,203.88,,403.55999999999995,-0.4947963128159381,292,2,7.226477814713109e-05,0.0
rv sheets,B08V8V7VZF,1,26,14,-12,673,8,0,203.68,,99.96,1.0376150460184075,249,2,9.140767824497258e-05,0.0
black and white sheets,,0,,,,994,7,0,202.92999999999998,,209.79,-0.032699366032699434,399,12,0.00044996062844501105,0.0
frette sheets,,0,,,,501,2,0,200.0,,486.0,-0.588477366255144,130,2,0.00013643495463537759,0.0
green sheets full,,0,,,,464,10,1,199.89999999999998,37.97,,,181,1,7.479991024010771e-05,1.0
better homes and gardens sheets,,0,,,,948,5,1,199.85,39.97,,,295,5,0.00017981083899737475,0.2
pillowcases cotton,,0,,,,1401,20,0,199.8,,,,235,0,0.0,
soft pillow cases,,0,,,,730,20,1,199.8,17.97,,,268,1,5.3233963268565346e-05,1.0
white twin bed sheets,,0,,,,238,17,1,198.39,34.97,175.2,0.13236301369863013,102,1,0.00013012361743656474,1.0
super soft sheets queen size,,0,,,,157,6,1,197.94,36.97,,,82,2,0.00048579062424095217,0.5
queen white bed sheets,,0,,,,62,11,1,197.89,36.97,143.92,0.375,41,1,0.0006784260515603799,1.0
gold pillow cases,,0,,,,641,23,0,197.57,,180.39,0.09523809523809529,236,1,6.160670280926565e-05,0.0
purple pillow cases,,0,,,,549,23,0,197.57,,,,242,1,6.83900971139379e-05,0.0
charter club sheets,,0,,,,589,2,0,196.34,,1190.04,-0.8350139491109542,200,1,5.061753391374772e-05,0.0
queen mattress sheet set,,0,,,,79,7,1,196.28,36.97,,,37,2,0.0008849557522123894,0.5
purple bed sheets,,0,,,,865,7,0,196.21,,,,317,5,0.00020399004528579004,0.0
white full bed sheets,,0,,,,172,14,0,196.0,,,,82,2,0.00041322314049586776,0.0
beige sheets full,,0,,,,215,13,1,194.35,37.97,179.39999999999998,0.08333333333333344,91,2,0.0003476447071093343,0.5
ivory queen sheet set,,0,,,,126,8,1,193.44,39.97,150.42999999999998,0.28591371401981003,77,2,0.0006470397929472663,0.5
soft sheets,,0,,,,1529,8,0,191.92,,164.94,0.16357463319995144,718,10,0.00024359942510535676,0.0
sheet,,0,,,,2309,12,0,191.88,,297.0,-0.35393939393939394,598,3,4.117655132657123e-05,0.0
￼queen size sheets,,0,,,,152,9,1,191.16,39.97,,,68,1,0.000293513354857646,1.0
king mattress sheet set,,0,,,,179,5,1,189.95000000000002,40.97,,,64,3,0.0006350550381033022,0.3333333333333333
full size percale sheet sets,,0,,,,105,5,1,189.95000000000002,37.97,,,48,1,0.0003943217665615142,1.0
pinstripe sheets,,0,,,,798,5,1,189.85,37.97,28.03,5.773100249732429,424,17,0.0007766103243490179,0.058823529411764705
bed sheets queen size cooling,,0,,,,229,3,0,188.97,,,,91,1,0.00015377518068583732,0.0
white king sheet set,,0,,,,205,10,0,188.9,,,,70,4,0.0006308153288124901,0.0
black sheet set,,0,,,,417,11,0,187.44,,,,188,1,9.104151493080845e-05,0.0
blue pillow shams,,0,,,,415,13,1,187.33,14.97,49.95,2.75035035035035,194,6,0.0005212405525149857,0.16666666666666666
king size sheets set white,,0,,,,75,11,1,187.0,40.97,,,46,2,0.0012682308180088776,0.5
brown twin xl sheets,,0,,,,352,13,1,186.68,37.97,,,175,2,0.00020308692120227456,0.5
mellanni bed sheets,,0,,,,155,5,5,184.85,184.85,163.88,0.127959482548206,68,64,0.016482101467937164,0.078125
white dust ruffle king,,0,,,,67,8,1,183.76,22.97,,,39,1,0.0007032348804500703,1.0
white sheet set full,,0,,,,126,13,0,182.0,,115.12,0.5809589993050729,77,6,0.001766264350897851,0.0
soft king size sheets,,0,,,,414,8,0,180.56,,229.41,-0.21293753541693908,215,5,0.00041638907395069954,0.0
dusty blue sheets,,0,,,,567,5,0,179.95000000000002,,,,287,5,0.00031879622545269063,0.0
white bed set,,0,,,,1370,6,0,179.94,,,,642,1,2.9229510113410498e-05,0.0
luxury sheets king size,,0,,,,468,6,0,179.94,,755.68,-0.7618833368621639,184,2,0.0001404297149276787,0.0
beige full size sheets,,0,,,,101,12,1,179.39999999999998,37.97,,,41,1,0.00037243947858472997,1.0
double sheets,,0,,,,316,12,1,179.28,35.97,113.28,0.5826271186440678,106,2,0.0001871082421180653,0.5
quince sheets,,0,,,,946,3,0,178.47,,59.99,1.9749958326387729,194,0,0.0,
wrap around bed skirt king,,0,,,,626,14,0,178.36,,152.88,0.1666666666666668,384,8,0.00045488144652299997,0.0
teal sheets,,0,,,,890,8,0,175.92,,265.07,-0.3363262534424869,421,12,0.0004929346040092015,0.0
white bed sheets twin xl,,0,,,,162,12,1,175.68,34.97,65.08,1.6994468346650278,79,7,0.0014656616415410384,0.14285714285714285
green striped sheets,,0,,,,1816,5,0,174.95000000000002,,260.90999999999997,-0.32946226668199746,928,34,0.0007260613308277099,0.0
king size bed skirt wrap around easy fit,,0,,,,404,14,0,174.86,,164.89000000000001,0.060464552125659515,239,2,0.00017152658662092623,0.0
tan sheets,,0,,,,751,9,0,170.82,,170.39999999999998,0.00246478873239446,322,2,0.00010536297545042672,0.0
king sheet set white,,0,,,,70,9,1,170.01,40.97,,,36,2,0.0010887316276537834,0.5
white sheet set king,,0,,,,144,9,0,170.01,,,,87,4,0.0012578616352201257,0.0
queen size sheet set deep pocket,,0,,,,337,8,0,169.92,,91.04,0.8664323374340946,158,6,0.0005927096710461326,0.0
patterned sheets,,0,,,,1396,6,0,168.18,,22.98,6.318537859007834,718,11,0.0002601641399210047,0.0
purple bed sheets queen,,0,,,,160,6,1,168.18,39.97,,,58,3,0.0006994637444625787,0.3333333333333333
yellow sheets full,,0,,,,358,7,0,167.92999999999998,,,,179,5,0.0004615526631588664,0.0
sheets full size,,0,,,,760,9,0,164.79,,220.86999999999998,-0.25390501199800786,238,1,3.621876131836291e-05,0.0
twin xl bed skirt 18 inch drop,,0,,,,320,9,0,161.91,,,,217,6,0.0006596306068601583,0.0
white twin xl sheet set,,0,,,,137,11,2,161.04000000000002,69.94,180.62,-0.10840438489646763,69,6,0.0014191106906338694,0.3333333333333333
dark pink sheets,,0,,,,678,7,0,160.92999999999998,,,,295,3,0.0001589067217543302,0.0
king bed skirt white,,0,,,,90,7,1,160.79,22.97,,,53,2,0.000847457627118644,0.5
white king bedskirt,,0,,,,53,7,1,160.79,22.97,,,33,1,0.0007451564828614009,1.0
cotton flannel sheets,,0,,,,733,4,0,159.96,,,,361,1,4.270584215920738e-05,0.0
white king size sheets set,,0,,,,76,8,2,159.52,80.3,188.9,-0.15553202752779247,40,3,0.001419782300047326,0.6666666666666666
double sheets set,,0,,,,221,9,2,153.81,71.94,335.85999999999996,-0.5420413267432859,100,5,0.0007605719501064801,0.4
twin xl striped sheets,,0,,,,517,6,0,152.94,,23.86,5.409891031014249,284,3,0.00019876764062810574,0.0
light blue pillow shams,,0,,,,204,9,1,152.91,14.97,49.95,2.061261261261261,136,5,0.0009155832265152902,0.2
amazon resale store,,0,,,,8378,16,0,151.84,,104.39,0.4545454545454546,927,0,0.0,
mustard yellow sheets,,0,,,,321,6,0,151.14000000000001,,,,167,1,0.00012162490878131841,0.0
hotel bedding sets queen,,0,,,,515,5,0,149.95,,29.98,4.001667778519012,208,3,0.00023399110833788317,0.0
sheets set queen,,0,,,,160,6,1,149.94,36.97,,,62,1,0.00023137436372049977,1.0
white king size bed skirt,,0,,,,151,10,2,149.9,45.94,,,84,2,0.0005535566011624688,1.0
queen bedsheet,,0,,,,607,10,0,149.9,,207.87,-0.27887622071486984,235,1,5.550929780738274e-05,0.0
wrap around bed skirt queen,,0,,,,596,10,0,149.9,,,,298,3,0.00018608113137327876,0.0
fullsize sheets set,,0,,,,413,10,1,149.5,36.97,321.85999999999996,-0.5355123345553967,167,3,0.00025131942699170643,0.3333333333333333
king size white sheet set,,0,,,,72,5,0,148.7,,,,30,3,0.0015592515592515593,0.0
white soft sheets queen,,0,,,,14,4,1,147.88,36.97,,,9,2,0.005934718100890208,0.5
double size bed sheets,,0,,,,173,6,1,147.84,35.97,16.06,8.205479452054796,90,6,0.001303497718878992,0.16666666666666666
microfiber sheets queen,,0,,,,980,8,0,147.52,,263.85,-0.4408944476028046,534,5,0.0001910292656835027,0.0
twin sheets black,,0,,,,158,12,0,146.88,,,,57,3,0.0007208073041806823,0.0
cooling bed sheets full,,0,,,,477,5,0,144.95,,,,243,1,7.950389569088885e-05,0.0
pottery barn bedding,,0,,,,1711,1,0,143.99,,,,727,0,0.0,
deep pocket cooling sheets,,0,,,,433,2,0,143.98,,,,236,1,8.61994655633135e-05,0.0
lencol king,,0,,,,192,8,0,143.92,,,,79,4,0.0009062075215224287,0.0
queen bed sheets white,,0,,,,119,8,0,143.92,,,,52,1,0.00033444816053511704,0.0
queen bedsheet sets,,0,,,,853,9,0,143.91,,390.83,-0.6317836399457565,317,3,0.00013572204125950055,0.0
full mattress sheets set,,0,,,,90,4,2,143.88,71.94,,,34,5,0.0022502250225022503,0.4
flannel bed sheets queen,,0,,,,202,3,0,140.97,,,,111,3,0.0004424778761061947,0.0
extra deep king fitted sheet,,0,,,,298,8,0,140.72,,,,143,1,0.00012067093037287318,0.0
blush pink sheets,,0,,,,622,10,0,140.0,,105.53999999999999,0.3265112753458405,279,3,0.00018717244821562265,0.0
blue and white sheets,,0,,,,618,5,0,139.95,,48.98,1.8572886892609228,277,5,0.00028118321898549094,0.0
sage green sheets full size,,0,,,,76,7,1,139.92999999999998,37.97,,,42,1,0.0005701254275940707,1.0
striped sheet set,,0,,,,744,4,0,139.92,,,,369,5,0.00022833135446159467,0.0
twin xl white sheet,,0,,,,27,7,1,136.78,34.97,,,18,1,0.0012836970474967907,1.0
cal king bed skirt,,0,,,,503,9,0,134.91,,130.41,0.03450655624568668,223,8,0.0005665722379603399,0.0
full sized sheets,,0,,,,603,9,0,134.46,,164.45,-0.18236546062633008,179,1,4.618937644341802e-05,0.0
amazon sheets queen,,0,,,,133,7,0,134.33,,,,92,1,0.0002731494127287626,0.0
california king flat sheets only,,0,,,,458,9,0,133.92000000000002,,134.9,-0.0072646404744254245,249,6,0.0004941525284137704,0.0
tein xl sheets,,0,,,,486,10,0,131.75,,,,211,2,0.0001794043774668102,0.0
burgundy bed sheets,,0,,,,377,8,0,129.12,,,,118,1,8.954956568460644e-05,0.0
plum bedding,,0,,,,1138,3,0,128.97,,,,536,2,6.861534239055853e-05,0.0
camping sheets,,0,,,,709,7,0,128.73000000000002,,161.91,-0.20492866407263283,274,3,0.0001485663348685188,0.0
sage sheets,,0,,,,383,8,0,127.92,,179.88,-0.2888592394929953,164,3,0.0002524827470122875,0.0
sage twin sheets,,0,,,,107,7,1,125.92999999999999,34.97,,,68,1,0.00036075036075036075,1.0
full sheet set cooling,,0,,,,217,6,1,125.82,35.97,221.76,-0.43262987012987014,94,1,0.00013324450366422385,1.0
threshold sheets,,0,,,,1769,4,0,124.92,,42.48,1.940677966101695,419,5,0.00010451068099159734,0.0
queen bedskirt 12 inch drop,,0,,,,313,8,1,123.92,20.97,,,197,1,0.00012239902080783354,1.0
bed sets,,0,,,,3595,5,0,120.45,,,,1096,0,0.0,
mellow sheets,,0,,,,553,2,0,119.98,,119.98,0.0,199,0,0.0,
king bed sheets white,,0,,,,47,4,1,119.96,40.97,,,27,1,0.000758150113722517,1.0
white sheets queen set cotton,,0,,,,89,4,0,119.96,,,,50,1,0.00045413260672116256,0.0
skirted bedspread king,,0,,,,28,2,1,119.94,59.97,,,15,1,0.0008090614886731392,1.0
blue king sheets,,0,,,,187,6,0,119.94,,71.97,0.6665277198832847,88,2,0.0004488330341113106,0.0
beige bed skirt twin xl,,0,,,,81,6,1,119.82,19.97,,,65,1,0.0004422821760283061,1.0
dark purple sheets,,0,,,,624,5,0,118.85,,125.10000000000001,-0.049960031974420574,249,14,0.000853450377956596,0.0
pink flannel sheets king,,0,,,,6,2,1,117.94,58.97,,,6,1,0.0035971223021582736,1.0
king deep pocket flannel sheets,,0,,,,7,2,2,117.94,117.94,,,5,2,0.011363636363636364,1.0
100% cotton queen sheet sets,,0,,,,115,4,1,115.24,36.97,,,64,1,0.0003566333808844508,1.0
best bed sheets,,0,,,,671,1,0,114.88,,42.48,1.7043314500941622,171,4,0.0001592039800995025,0.0
king size split sheets for adjustable bed set,,0,,,,352,3,0,114.53999999999999,,152.72,-0.25000000000000006,161,1,8.249463784853984e-05,0.0
full sheet set white,,0,,,,55,8,2,112.0,71.94,182.0,-0.38461538461538464,27,4,0.002622950819672131,0.5
bedding sheets,,0,,,,827,7,0,111.93,,266.0,-0.5792105263157894,276,1,3.86742468190432e-05,0.0
hotel bedding,,0,,,,1105,3,0,110.67,,49.98,1.2142857142857144,426,17,0.0005817534734104442,0.0
wamsutta sheets,,0,,,,773,1,0,109.99,,,,159,2,6.506392530661374e-05,0.0
queen bedskirt 15 inch drop,,0,,,,178,8,0,108.72,,,,86,2,0.0003429355281207133,0.0
sage green king sheets,,0,,,,257,6,0,107.94,,,,135,1,0.00013448090371167293,0.0
xl sheets,,0,,,,173,9,1,107.91,34.97,,,70,1,0.0001905850962454736,1.0
luxury bed sheets,,0,,,,539,2,0,105.98,,163.88,-0.3533072980229436,129,3,0.0001398014818957081,0.0
blue pinstripe sheets,,0,,,,183,3,0,104.97,,,,91,6,0.0012790449797484545,0.0
king size bedsheet sets,,0,,,,221,5,1,104.94999999999999,40.97,,,117,2,0.0003732039559619332,0.5
turquoise sheets,,0,,,,242,5,0,104.94999999999999,,,,97,2,0.0002581311306143521,0.0
mellanni twin sheet set,,0,,,,52,3,3,104.91,104.91,34.27,2.0612780857893194,27,24,0.018575851393188854,0.125
