keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow,total_clicks,brand_clicks,brand_ctr,brand_purchase_per_click
bamboo sheets full size,,0,,,,1001,27,1,944.73,35.97,863.76,0.09374131703250907,527,1,3.6086752553137746e-05,1.0
twin flat sheet,"B00NLLUMOE, B01ETTEBIO",2,37,35,-2,3751,99,0,939.51,,961.9300000000001,-0.02330730926366791,1630,1,1.0792376265406117e-05,0.0
queen sheets white,,0,,,,328,55,3,938.3,110.91,876.18,0.07089867378849096,178,4,0.00040895613945404356,0.75
queen size bed sheets set,,0,,,,1242,44,1,934.56,36.97,870.8399999999999,0.07317073170731711,551,5,0.00014260859644619377,0.2
sheets queen,,0,,,,2539,55,0,933.9,,1169.35,-0.20135117800487445,979,7,0.00010428616122640526,0.0
king deep pocket sheets set,,0,,,,1577,42,1,933.24,50.97,750.7199999999999,0.2431265984654733,801,3,7.701589094549841e-05,0.3333333333333333
white bed sheets queen,,0,,,,606,54,0,932.5799999999999,,687.2,0.3570721769499416,258,2,0.00012868356710848025,0.0
king size sheets set cooling,,0,,,,1503,31,0,929.6899999999999,,943.13,-0.014250421468938592,723,4,0.00010375596596804317,0.0
bed skirt queen size,,0,,,,2870,74,0,924.26,,,,1560,2,2.7349305327644676e-05,0.0
deep pocket king sheets,,0,,,,2298,41,0,907.3299999999999,,1033.24,-0.12185939375169377,1163,3,4.98711661541019e-05,0.0
100% cotton queen sheet set,,0,,,,1665,25,0,899.75,,,,834,5,0.00010588060902526312,0.0
jersey sheets full,,0,,,,1068,30,0,899.0999999999999,,,,560,2,7.462965036008807e-05,0.0
cotton bed sheets,,0,,,,6461,29,0,899.0,,1709.5500000000002,-0.4741306191687872,2931,11,5.9562808982071595e-05,0.0
deep pocket queen sheet set,,0,,,,2562,39,0,887.6400000000001,,934.56,-0.050205444273240724,1295,5,7.498162950077232e-05,0.0
best sheets king size,,0,,,,558,11,1,881.0999999999999,40.97,296.45,1.9721706864564004,220,9,0.0006007208650380457,0.1111111111111111
100% silk pillow cases,,0,,,,2259,44,0,879.56,,,,1320,2,3.350139868339503e-05,0.0
queen mattress sheets set,,0,,,,506,29,4,869.7099999999999,147.88,439.56,0.9785922285922284,225,5,0.0003544339689515843,0.8
king size white sheets,,0,,,,342,34,0,866.66,,739.2099999999999,0.17241379310344834,140,4,0.0004186289900575615,0.0
hypoallergenic pillow cases,,0,,,,1544,54,0,863.46,,,,326,0,0.0,
king white sheets,,0,,,,368,43,2,857.4200000000001,81.94,944.55,-0.09224498438409813,184,16,0.0016455826391031574,0.125
bed sheets twin xl,,0,,,,2988,37,0,850.63,,911.52,-0.06680050903984552,1184,1,1.083282780136927e-05,0.0
rv queen sheets,"B08V8V7VZF, B08V93R9LN",2,16,14,-2,1237,33,0,840.1800000000001,,1043.8600000000001,-0.19512195121951223,626,9,0.00026374399249794867,0.0
cooling sheets king,,0,,,,1335,26,0,839.28,,,,619,2,5.4688140876650896e-05,0.0
queen egyptian cotton sheets,,0,,,,323,11,1,824.89,36.97,,,140,1,0.00010362694300518135,1.0
king size sheet,,0,,,,1724,55,0,824.45,,629.58,0.30952380952380953,672,3,6.740512728334869e-05,0.0
queen bed skirt 12 inch drop,,0,,,,1070,41,0,819.5899999999999,,,,625,3,0.00010188833038989267,0.0
pillow shams standard size,,0,,,,4410,48,0,815.52,,847.47,-0.03770044957343628,2210,17,0.00012177214283156047,0.0
cotton percale sheets,,0,,,,2693,18,0,809.82,,764.82,0.058837373499646975,1275,8,9.352131116878258e-05,0.0
flannel sheets king size,,0,,,,1274,19,0,807.3100000000001,,847.1400000000001,-0.047017021979838085,740,2,5.691033776285462e-05,0.0
sheet set queen size,,0,,,,3264,47,0,803.7,,968.43,-0.17010005885815177,1261,5,5.70834903129317e-05,0.0
king bed sheets cotton,,0,,,,1013,16,0,799.84,,499.90000000000003,0.6,483,2,7.244801854669275e-05,0.0
bedskirt twin xl,,0,,,,1256,40,0,799.2,,341.82,1.3380726698262244,639,1,2.8912597218608148e-05,0.0
sheets king,,0,,,,1157,31,1,790.1899999999999,40.97,279.16,1.8305989396761708,475,7,0.0002163231249420563,0.14285714285714285
queen bedskirt,,0,,,,1785,64,0,785.28,,688.47,0.14061614885180174,941,1,2.1083257784992938e-05,0.0
bedskirts queen size,,0,,,,2353,60,0,779.4,,636.51,0.22448979591836732,1188,5,8.389965601141036e-05,0.0
bedsheets,,0,,,,9892,39,0,777.6600000000001,,531.0,0.46451977401129957,2283,18,7.214891536130573e-05,0.0
queen bedsheets,,0,,,,1943,45,0,777.15,,637.1999999999999,0.21963276836158202,794,3,5.6906559429416894e-05,0.0
pink queen sheets,,0,,,,1204,48,0,771.36,,1072.99,-0.28111165994091275,537,2,6.681142475363287e-05,0.0
flat sheets,,0,,,,1492,24,0,767.76,,532.74,0.4411532830273679,585,1,2.2857142857142858e-05,0.0
sabanas king100 algodon en oferta,,0,,,,4064,30,0,764.6999999999999,,650.6899999999999,0.17521400359618253,1666,5,5.043830890437905e-05,0.0
sábanas queen,,0,,,,3023,47,0,751.53,,934.4499999999999,-0.19575151158435442,1251,9,0.00012431110926946505,0.0
king size bed sheet set,,0,,,,1281,29,0,739.2099999999999,,688.2299999999999,0.07407407407407411,516,6,0.0001672100994900092,0.0
mellanni king bed sheet set,,0,,,,802,18,17,737.46,696.49,942.31,-0.217391304347826,448,414,0.01858752749966327,0.04106280193236715
tencel sheets,,0,,,,1875,11,0,736.89,,779.87,-0.055111749394129814,1055,5,9.170778232240789e-05,0.0
cooling pillow cases for hot sleepers,,0,,,,1679,49,0,734.51,,,,838,3,6.866088389444533e-05,0.0
sheet sets full size bed,,0,,,,1750,36,3,734.04,107.91,719.64,0.02001000500250122,662,10,0.00020036867836819747,0.3
brown pillow cases,,0,,,,1972,81,0,728.19,,,,811,2,4.3929010718678616e-05,0.0
quince bedding,,0,,,,8975,12,0,719.88,,879.89,-0.1818522769891691,2399,0,0.0,
white sheets twin xl,,0,,,,761,49,0,717.36,,638.04,0.12431822456272343,401,5,0.00021634719397689412,0.0
cotton king sheets,,0,,,,1616,18,0,712.6200000000001,,,,923,5,0.00011001584228128851,0.0
pillowcases standard set of 2,,0,,,,2726,99,0,710.8199999999999,,650.07,0.0934514744565968,1204,4,5.466198395670771e-05,0.0
bed sheet,,0,,,,3224,44,0,703.5600000000001,,324.75,1.1664665127020788,1041,4,3.711298119299678e-05,0.0
sheets with corner straps,,0,,,,2075,27,0,701.7299999999999,,305.83,1.2945100219075956,1002,2,3.520197131039338e-05,0.0
white cotton pillow cases,,0,,,,1417,67,0,697.47,,745.86,-0.06487812726248891,290,0,0.0,
cal king bed sheets,,0,,,,834,23,0,689.77,,356.85999999999996,0.932886846382335,298,2,7.096980234910045e-05,0.0
white king size sheets,,0,,,,349,34,3,677.96,122.91,637.1999999999999,0.06396735718769635,165,14,0.001316160571589734,0.21428571428571427
