week_start,week_end,gross_sales,sessions,units,unit_conversion
2026-07-19,2026-07-25,416613.6400000027,166822,11038,0.06616633297766482
2026-07-26,2026-08-01,407406.42000000144,147169,10838,0.07364322649471017
