promo_label,orders,units,gross_item_sales,item_promo_discount,net_item_sales,shipping_promo_discount_excluded
30% off BedSheets - Vika- Creators/DG - Back-To-School (ICONICDORM30),165,184,8128.479999999997,2438.36,5690.119999999997,102.10999999999999
4688cb01-4d13-4da0-969c-c0218abe470a,347,495,18530.01,1224.0299999999995,17305.98,179.97
3a997123-e65a-40e1-98cb-5f5b52c597fc,158,195,7283.789999999999,581.6600000000001,6702.129999999999,104.11999999999999
ab56f037-ed4c-4c10-a9f7-82f12ba813e6,74,95,3658.769999999998,259.19,3399.579999999998,47.730000000000004
nan,19,20,974.4000000000003,146.24999999999997,828.1500000000003,0.0
30% off BedSheets - Vika- Creators/DG - Back-To-School (BTSICONIC29),5,5,205.85,61.74999999999999,144.1,1.5
MPC-S Percentage Off 2026/07/17 13-59-51-95,4,4,77.88,38.96,38.919999999999995,0.0
"30% off BedSheets - Vika- Creators/DG - Back-To-School (ICONICDORM30),4688cb01-4d13-4da0-969c-c0218abe470a",2,2,94.94,28.48,66.46,2.99
"4688cb01-4d13-4da0-969c-c0218abe470a,30% off BedSheets - Vika- Creators/DG - Back-To-School (ICONICDORM30)",2,2,87.94,26.38,61.56,0.0
e9d15c97-2b53-460d-9664-a633fe123829,4,5,224.85,18.0,206.85,0.0
"3a997123-e65a-40e1-98cb-5f5b52c597fc,4688cb01-4d13-4da0-969c-c0218abe470a",3,3,122.91,12.3,110.61,0.0
"4688cb01-4d13-4da0-969c-c0218abe470a,30% off BedSheets - Vika- Creators/DG - Back-To-School (BTSICONIC21)",1,1,39.97,11.99,27.979999999999997,0.0
"4688cb01-4d13-4da0-969c-c0218abe470a,3a997123-e65a-40e1-98cb-5f5b52c597fc",1,1,39.97,4.0,35.97,0.0
